"Club Type","Club Brand","Club Model","Carry Distance","Total Distance","Ball Speed","Launch Angle","Launch Direction","Apex","Side Carry","Club Speed","Smash Factor","Descent Angle","Attack Angle","Club Path","Club Data Est Type"
"9i",,,"143.0","155.8","107.2","13.4","-1.8","54.2","-4.4","87.9","1.22","36.1","-3.9","0.6",0
"9i",,,"151.6","163.6","104.6","30.4","-3.4","122.9","-4.4","88.5","1.18","55.5","-3.3","-2.8",0
"9i",,,"151.6","163.6","106.2","25.6","-3.5","106.7","-10.3","101.4","1.05","51.6","-1.0","-1.0",8
"9i",,,"134.5","146.9","99.8","16.2","-3.1","55.2","-0.1","85.7","1.16","37.8","-4.2","-1.6",0
"9i",,,"135.8","148.5","96.9","27.9","-1.3","95.5","-3.8","85.1","1.14","51.0","-3.9","0.3",0
"9i",,,"140.4","151.8","99.5","26.1","-2.8","94.3","-5.9","85.7","1.16","50.1","-3.9","-0.4",0
"9i",,,"132.7","145.2","94.5","26.4","-1.0","85.0","6.7","84.6","1.12","48.8","-3.8","-1.0",0
"9i",,,"144.1","155.9","100.4","27.1","-1.5","100.1","-3.5","84.0","1.20","51.3","-3.5","0.7",0
"9i",,,"146.7","159.3","100.8","24.0","-2.7","88.4","-6.0","87.9","1.15","48.6","-4.1","-0.7",0
"9i",,,"138.7","150.6","97.3","26.0","2.4","89.2","15.7","82.9","1.17","49.4","-5.6","0.1",0
"9i",,,"144.4","157.3","100.4","24.4","-3.2","89.1","-7.4","86.2","1.16","48.8","-5.0","0.2",0
"9i",,,"138.3","149.3","99.0","26.3","-0.1","93.7","3.6","82.9","1.19","50.1","-3.5","1.0",0
"7i",,,"154.9","167.7","111.5","15.8","-3.4","72.1","-22.2","91.2","1.22","41.6","-1.0","-1.0",3
"7i",,,"162.8","173.7","115.5","18.2","-1.2","90.8","-3.4","89.6","1.29","46.3","-4.8","-0.5",0
"7i",,,"169.6","183.5","112.8","19.1","-0.8","90.3","-4.2","89.6","1.26","46.6","-4.3","-0.7",0
"7i",,,"172.6","186.8","117.2","16.4","-2.2","85.3","-11.1","91.8","1.28","44.9","-5.6","0.9",0
"7i",,,"159.8","172.8","112.4","16.4","-1.4","76.7","-3.4","90.1","1.25","43.1","-5.4","-0.2",0
"7i",,,"167.6","179.6","116.6","17.7","-2.4","90.4","-14.1","89.0","1.31","46.0","-4.3","-0.2",0
"5i",,,"169.5","184.2","117.9","12.4","-2.5","64.1","-12.8","91.2","1.29","37.7","-3.3","-1.4",0
"5i",,,"165.4","183.4","113.4","12.9","-0.7","59.6","5.5","92.9","1.22","36.5","-5.2","-1.2",0
"5i",,,"181.9","197.8","121.5","12.6","-3.0","71.0","-16.3","91.2","1.33","39.5","-3.7","-0.7",0
"5i",,,"178.5","193.9","120.6","12.9","-2.2","71.2","-22.3","95.3","1.27","39.7","-3.6","1.0",0
"5i",,,"147.8","169.3","111.8","9.4","-3.5","39.7","-17.7","92.4","1.21","28.4","-4.1","-0.0",0
"5i",,,"152.1","178.5","116.2","7.2","-2.3","33.8","-6.1","92.9","1.25","25.3","-3.8","-0.1",0
"5i",,,"176.0","191.4","120.5","11.9","-3.1","65.5","-16.7","90.7","1.33","37.8","-5.1","-1.1",0
"5i",,,"181.0","199.8","124.0","14.7","1.7","87.2","5.4","96.8","1.28","43.8","-3.6","-0.3",0
"5i",,,"178.6","192.1","121.5","14.4","1.3","80.8","12.3","92.9","1.31","42.3","-2.0","-1.2",0
"5i",,,"178.7","193.5","121.9","12.6","-0.9","71.6","-3.0","92.9","1.31","39.7","-4.9","-0.7",0
"5i",,,"178.3","192.4","122.3","13.9","1.5","79.4","20.6","91.8","1.33","41.8","-4.5","-0.8",0
"5i",,,"184.1","204.5","125.9","13.1","-1.8","81.3","-5.9","97.4","1.29","42.0","-1.0","-1.0",8
"5i",,,"184.1","198.5","124.4","13.0","0.6","78.1","9.8","92.4","1.35","41.2","-4.1","0.3",0
"5i",,,"186.5","200.2","127.1","13.7","0.2","86.7","7.9","95.7","1.33","43.2","-3.6","-0.3",0
"5i",,,"197.3","212.7","129.1","13.9","-0.8","91.6","-5.1","96.8","1.33","44.2","-1.9","1.3",0
"5i",,,"172.2","187.5","117.9","14.9","3.9","77.8","34.3","96.2","1.23","42.0","-2.1","0.6",0
"5i",,,"169.8","183.9","119.2","12.0","-2.2","64.4","-6.5","92.4","1.29","37.7","-4.1","0.1",0
"5w",,,"197.9","212.8","129.8","14.0","-1.3","90.7","-1.1","99.4","1.31","43.0","-3.8","0.7",0
"5w",,,"143.3","153.4","104.3","30.7","-3.8","122.9","-7.4","97.4","1.07","56.6","-3.6","-1.5",0
"5w",,,"194.6","210.1","130.5","10.6","-5.5","69.8","-33.2","96.2","1.36","37.1","-5.5","-2.2",0
"5w",,,"191.2","207.1","127.9","11.1","-4.7","69.3","-16.2","96.8","1.32","37.4","-5.7","-1.6",0
"5w",,,"197.5","212.5","128.9","14.9","-0.5","93.9","-1.7","96.2","1.34","43.7","-6.0","-2.1",0
"5w",,,"194.2","209.9","128.3","12.6","-3.3","78.8","-15.3","95.1","1.35","39.9","-3.9","-1.7",0
"5w",,,"185.0","201.7","123.9","18.7","-2.2","108.5","-7.3","96.2","1.29","48.1","-3.0","-1.5",0
"d",,,"229.1","249.3","144.9","10.6","-0.9","79.7","6.6","105.7","1.37","36.2","-1.0","-1.0",1
"d",,,"213.1","238.4","138.4","9.1","-6.8","63.1","-25.6","105.1","1.32","32.5","-1.0","-1.0",1
"d",,,"217.0","234.2","138.8","12.1","-6.2","84.4","-5.0","106.2","1.31","38.5","-1.0","-1.0",1
"d",,,"234.8","260.4","149.4","7.9","-3.9","65.7","-16.1","107.3","1.39","31.9","-1.0","-1.0",1
"d",,,"217.3","232.1","139.3","14.4","-3.3","102.3","-3.5","105.7","1.32","42.8","-1.0","-1.0",1
"d",,,"232.1","250.2","144.8","12.3","2.5","92.7","28.5","106.0","1.37","39.5","-1.0","-1.0",1
"d",,,"182.3","202.5","137.0","9.5","-7.8","63.8","20.2","106.8","1.28","32.8","-1.0","-1.0",1
"d",,,"224.2","242.7","139.5","15.2","-0.7","109.0","-2.8","105.7","1.32","44.4","-1.0","-1.0",1
"d",,,"231.5","251.5","148.1","11.2","1.1","91.8","-25.0","111.1","1.33","39.4","1.4","9.3",0
"d",,,"222.7","240.9","141.8","13.4","1.5","99.2","5.4","106.8","1.33","41.8","-1.0","-1.0",1
"d",,,"227.6","250.4","144.5","9.3","-3.4","71.8","-13.6","107.3","1.35","34.5","-1.0","-1.0",1
"8i",,,"155.9","169.3","108.1","17.8","-0.4","75.5","6.4","88.5","1.22","43.6","-4.8","0.5",0
"8i",,,"162.9","174.6","110.6","24.1","2.1","109.5","7.5","90.1","1.23","51.4","-6.7","-0.7",0
"8i",,,"141.2","151.4","102.3","24.8","1.8","94.5","4.4","84.6","1.21","49.4","-4.6","-0.8",0
"8i",,,"147.0","161.7","105.8","23.6","0.4","97.2","0.9","88.5","1.20","49.5","-4.2","0.4",0
"8i",,,"146.4","157.3","104.5","25.2","0.8","101.2","11.6","89.7","1.17","50.6","-2.7","-0.4",0
"8i",,,"127.4","138.0","95.1","23.5","0.9","75.5","1.7","82.9","1.15","45.7","-3.2","1.2",0
