"Club Type","Club Brand","Club Model","Carry Distance","Total Distance","Ball Speed","Launch Angle","Launch Direction","Apex","Side Carry","Club Speed","Smash Factor","Descent Angle","Attack Angle","Club Path","Club Data Est Type"
"pw",,,"128.0","149.0","98.9","13.8","6.9","44.4","15.2","80.7","1.23","33.1","-3.9","6.7",0
"pw",,,"106.5","118.0","79.9","30.4","4.5","69.2","1.9","77.4","1.03","47.9","-4.7","8.7",0
"pw",,,"98.7","111.2","78.9","29.4","-0.1","64.5","-0.3","78.5","1.01","46.4","0.8","2.9",0
"pw",,,"116.7","130.5","89.6","25.7","-0.0","73.0","-0.1","81.8","1.10","46.6","0.7","5.2",0
"pw",,,"112.3","124.3","87.0","32.5","3.8","89.9","7.5","80.7","1.08","52.3","-4.1","4.8",0
"pw",,,"126.9","140.5","95.4","27.4","4.0","90.5","8.7","81.8","1.17","50.3","-4.4","5.3",0
"pw",,,"120.1","129.8","90.0","25.1","-1.1","71.8","-7.7","81.8","1.10","46.1","-2.9","0.8",0
"pw",,,"116.9","130.0","89.3","28.8","-1.1","82.9","-2.2","81.2","1.10","49.5","-1.0","-1.0",3
"pw",,,"101.5","115.2","81.1","25.1","1.7","56.2","3.0","80.7","1.00","42.5","-3.9","3.1",0
"pw",,,"114.6","124.0","87.9","25.1","2.5","68.1","-3.5","80.1","1.10","45.4","-3.8","4.2",0
"pw",,,"124.6","134.2","93.6","25.3","2.2","79.1","7.6","83.5","1.12","47.7","-1.5","1.6",0
"pw",,,"118.0","134.1","91.0","21.3","-0.3","60.4","-0.7","82.4","1.11","41.8","-4.2","3.3",0
"pw",,,"131.0","144.2","100.6","14.0","1.3","47.5","4.0","84.6","1.19","34.3","-8.6","3.0",0
"pw",,,"124.2","134.2","92.9","20.8","1.2","61.6","-4.2","82.9","1.12","41.9","-7.2","2.5",0
"pw",,,"130.0","144.6","97.5","23.1","1.1","78.6","2.5","82.9","1.18","46.6","-4.4","1.0",0
"pw",,,"126.6","136.5","94.5","24.5","-0.3","78.0","-1.5","80.7","1.17","47.0","-4.7","0.1",0
"pw",,,"120.1","129.8","90.4","24.1","0.6","69.1","4.2","82.4","1.10","45.1","-5.4","0.9",0
"pw",,,"121.4","133.5","92.0","31.3","-1.1","97.1","-2.3","84.0","1.10","52.8","-4.2","1.0",0
"pw",,,"119.5","129.3","92.2","23.4","0.7","69.7","-2.0","81.8","1.13","44.9","-5.1","2.5",0
"8i",,,"158.4","170.0","110.7","19.0","-0.0","86.1","-0.9","85.7","1.29","46.1","-5.2","0.5",0
"8i",,,"147.5","159.5","103.9","19.1","-2.7","74.0","-12.7","86.2","1.20","43.7","-3.2","-0.6",0
"8i",,,"149.9","164.1","105.8","17.0","-3.3","67.9","-23.4","85.1","1.24","41.4","-3.7","0.7",0
"8i",,,"119.7","138.5","92.2","17.7","-2.8","49.4","-6.0","81.8","1.13","36.4","-1.0","-0.9",0
"8i",,,"167.9","178.9","114.5","19.9","3.5","97.6","4.6","88.5","1.29","48.4","-4.5","3.3",0
"8i",,,"165.9","183.8","117.6","17.8","-0.5","93.2","-1.5","89.6","1.31","46.9","-5.3","2.2",0
"8i",,,"163.3","174.7","114.3","17.9","4.9","87.6","7.3","89.0","1.28","46.2","-5.1","5.3",0
"8i",,,"169.9","180.7","118.5","18.7","1.6","99.5","-8.8","90.1","1.31","48.3","-5.4","2.3",0
"8i",,,"171.7","182.2","120.0","17.2","1.4","94.9","-5.7","90.7","1.32","47.1","-5.9","3.0",0
"8i",,,"166.9","177.8","118.2","16.5","-0.0","87.9","-14.6","92.9","1.27","45.7","-6.9","2.4",0
"8i",,,"167.4","178.9","115.2","18.4","4.6","91.3","17.7","91.8","1.25","47.1","-7.5","3.1",0
"8i",,,"172.0","183.2","118.3","19.1","1.7","101.0","5.5","91.8","1.29","48.7","-5.3","2.0",0
"8i",,,"133.2","145.5","97.3","18.3","6.6","59.6","19.7","88.5","1.10","39.7","-2.6","3.4",0
"8i",,,"162.1","178.8","115.6","19.1","3.0","95.8","8.0","90.1","1.28","47.9","-5.3","2.1",0
"6i",,,"172.2","185.7","119.6","15.1","4.3","82.4","24.4","92.9","1.29","43.4","-3.9","1.2",0
"6i",,,"164.2","178.0","116.3","13.5","2.4","68.0","15.4","90.7","1.28","39.5","-6.8","-1.2",0
"6i",,,"168.4","181.8","116.3","15.5","-0.6","78.4","-10.6","89.6","1.30","42.4","-2.6","0.8",0
"6i",,,"171.7","190.9","118.8","17.0","2.2","90.3","6.5","89.6","1.33","45.3","-4.5","-0.1",0
"6i",,,"156.7","177.7","112.7","12.7","1.9","58.5","5.0","91.2","1.23","36.6","-4.9","1.6",0
"6i",,,"151.2","170.0","107.9","16.6","3.6","69.2","9.5","87.9","1.23","40.8","-3.9","2.5",0
"6i",,,"184.7","197.1","121.7","18.4","4.4","104.0","8.7","91.8","1.33","48.3","-2.7","2.2",0
"6i",,,"179.7","192.5","120.2","17.6","5.7","97.0","27.8","92.4","1.30","46.9","-4.5","1.0",0
"6i",,,"165.2","178.3","116.4","14.6","3.0","74.0","21.9","91.2","1.28","41.3","-4.3","0.9",0
"6i",,,"171.1","184.7","117.3","16.1","2.3","83.2","14.2","90.7","1.29","43.7","-4.0","0.0",0
"6i",,,"161.9","180.8","114.1","14.6","0.7","69.6","1.8","95.2","1.20","40.0","-3.8","2.7",0
