"Club Type","Club Brand","Club Model","Carry Distance","Total Distance","Ball Speed","Launch Angle","Launch Direction","Apex","Side Carry","Club Speed","Smash Factor","Descent Angle","Attack Angle","Club Path","Club Data Est Type"
"9i",,,"138.1","151.2","101.7","30.4","1.0","115.9","2.2","89.6","1.14","54.8","-3.0","3.3",0
"9i",,,"135.2","147.5","100.4","32.7","1.3","121.7","2.9","86.8","1.16","56.4","-3.5","-2.6",0
"9i",,,"149.7","163.8","101.2","29.1","-3.8","109.5","-21.6","86.8","1.17","53.3","-0.8","3.1",0
"9i",,,"150.8","165.4","108.6","24.7","-4.0","107.8","-10.6","90.7","1.20","51.6","-4.7","1.1",0
"9i",,,"134.5","148.6","99.4","26.5","1.1","95.3","2.3","87.9","1.13","50.5","-1.4","3.1",0
"9i",,,"151.7","162.6","105.8","24.1","0.6","89.2","1.9","33.2","3.19","43.6","0.1","2.5",0
"9i",,,"147.6","159.8","101.7","25.4","-0.0","96.1","5.4","89.6","1.14","50.3","-1.0","-1.0",3
"9i",,,"149.0","164.0","98.9","27.8","-1.9","99.3","-0.3","92.4","1.07","51.5","-3.4","-2.9",0
"9i",,,"134.6","147.1","97.7","21.1","0.3","70.9","13.9","89.6","1.09","43.9","-5.7","-1.6",0
"9i",,,"144.6","154.8","105.6","28.4","-0.5","116.9","1.6","89.0","1.19","54.0","-3.8","0.6",0
"9i",,,"146.8","158.2","103.0","24.7","0.5","95.9","10.3","86.2","1.19","49.9","-5.1","-2.4",0
"9i",,,"146.7","158.1","102.2","27.8","0.6","106.9","13.2","87.9","1.16","52.6","-2.9","-2.4",0
"9i",,,"112.8","123.4","89.7","23.0","10.8","64.2","44.2","85.7","1.05","43.3","-4.2","-2.3",0
"9i",,,"121.9","132.5","93.2","23.4","-2.5","71.8","-7.3","80.1","1.16","45.1","-2.1","-2.0",0
"9i",,,"149.4","161.3","102.4","26.2","-0.9","100.8","-2.0","89.0","1.15","51.2","-4.2","-0.2",0
"9i",,,"137.2","147.1","100.4","25.0","0.1","91.6","0.9","85.7","1.17","49.4","-4.2","-0.8",0
"9i",,,"136.1","149.4","94.8","24.2","-2.8","77.5","-5.5","85.7","1.11","46.6","-3.5","-2.1",0
"9i",,,"150.0","162.1","104.9","24.2","-1.0","97.8","3.5","87.4","1.20","50.1","-4.5","-2.0",0
"9i",,,"137.5","149.1","100.5","27.5","-0.5","102.0","-1.3","86.2","1.17","51.8","-4.0","-1.0",0
"9i",,,"131.7","142.6","98.7","19.7","3.0","67.5","24.2","86.2","1.14","42.6","-4.6","-0.9",0
"9i",,,"150.0","163.1","101.9","23.0","-4.3","86.5","-12.0","87.4","1.17","47.9","-4.6","-1.6",0
"9i",,,"140.3","152.3","99.1","30.3","2.9","109.6","18.0","86.8","1.14","53.9","-5.9","-1.2",0
"9i",,,"156.7","169.6","107.6","20.6","-2.1","87.4","-9.6","90.7","1.19","47.3","-5.1","-0.3",0
"9i",,,"148.3","157.1","107.9","22.9","-3.6","98.3","-9.1","91.2","1.18","49.8","-2.7","0.6",0
"9i",,,"148.3","159.4","104.2","26.7","-1.9","107.0","-0.9","89.0","1.17","52.3","-4.5","-2.4",0
"9i",,,"154.4","168.0","103.0","30.3","3.1","118.7","14.9","88.5","1.16","55.1","-5.0","-1.5",0
"9i",,,"149.4","160.3","106.1","21.4","-0.8","73.4","4.3","27.8","3.81","38.0","-1.0","-1.0",3
"7i",,,"163.5","176.1","113.5","17.3","-0.1","83.2","8.5","92.4","1.23","44.8","-4.8","-2.5",0
"7i",,,"177.4","191.3","119.4","17.5","-1.1","94.9","7.3","91.8","1.30","46.8","-4.9","-1.5",0
"7i",,,"164.1","177.2","112.8","18.3","-2.3","86.2","4.3","89.0","1.27","45.6","-3.9","-3.5",0
"7i",,,"154.4","165.8","109.6","19.3","1.3","85.2","22.4","92.9","1.18","45.7","-6.7","-2.8",0
"7i",,,"166.1","178.0","114.9","18.6","1.5","91.8","15.5","92.9","1.24","46.8","-4.7","-1.1",0
"7i",,,"79.9","108.0","97.6","7.0","3.5","15.8","15.6","94.0","1.04","15.8","-7.1","-1.1",0
"7i",,,"166.2","177.3","115.0","19.3","0.7","95.4","13.7","91.2","1.26","47.6","-4.8","-2.0",0
"7i",,,"173.9","187.1","118.6","16.2","-5.3","86.8","-25.9","89.6","1.32","44.9","-4.1","-1.2",0
"7i",,,"171.7","184.5","117.6","17.1","-2.0","89.4","-5.0","90.7","1.30","45.7","-4.4","-1.2",0
"7i",,,"169.6","182.6","116.4","17.5","-3.7","89.5","-16.9","93.4","1.25","46.0","-4.7","-1.2",0
"7i",,,"169.1","182.3","116.1","16.8","-1.6","85.0","-0.0","90.1","1.29","44.9","-5.5","-1.2",0
"7i",,,"171.7","183.7","117.5","17.6","0.7","91.9","16.6","91.8","1.28","46.4","-6.6","-1.6",0
"7i",,,"172.0","184.6","116.9","17.3","-2.2","89.1","-3.5","89.6","1.31","45.7","-6.6","-3.6",0
"7i",,,"159.0","172.3","111.8","16.4","-1.2","75.8","-3.1","90.7","1.23","42.8","0.0","0.0",-1
