"Club Type","Club Brand","Club Model","Carry Distance","Total Distance","Ball Speed","Launch Angle","Launch Direction","Apex","Side Carry","Club Speed","Smash Factor","Descent Angle","Attack Angle","Club Path","Club Data Est Type"
"pw",,,"131.7","141.8","95.3","24.0","1.7","77.5","-3.1","87.4","1.09","46.9","-2.4","3.4",0
"pw",,,"113.4","123.1","86.4","27.1","4.1","71.6","10.9","85.1","1.01","46.8","-2.6","2.7",0
"pw",,,"129.1","137.9","96.4","26.8","-2.5","90.5","-5.7","84.6","1.14","50.1","-2.2","1.0",0
"pw",,,"122.8","132.6","93.1","25.1","-2.2","77.4","-22.9","82.4","1.13","47.2","-2.3","3.8",0
"pw",,,"131.8","141.6","96.3","29.8","2.7","101.6","5.2","87.4","1.10","52.9","-2.5","0.2",0
"pw",,,"128.7","136.9","95.5","29.1","2.9","97.0","0.3","87.4","1.09","52.0","-1.4","2.5",0
"pw",,,"138.2","147.2","100.3","29.1","0.1","107.7","-7.6","87.4","1.15","53.4","-1.4","1.9",0
"pw",,,"127.8","136.7","98.3","31.5","5.5","112.2","13.4","87.4","1.12","55.1","0.8","5.0",0
"pw",,,"123.4","132.0","94.4","33.2","8.5","109.2","22.9","89.0","1.06","55.6","-0.6","1.2",0
"pw",,,"120.2","129.7","89.7","27.0","7.1","77.6","18.4","89.0","1.01","48.0","-1.2","1.4",0
"pw",,,"126.3","135.9","92.3","30.6","0.8","95.3","-3.0","85.7","1.08","52.3","-1.2","0.1",0
"pw",,,"121.1","129.9","91.4","28.7","-0.1","87.0","-10.6","85.7","1.07","50.3","-1.6","-0.6",0
"pw",,,"133.4","143.0","97.7","24.3","-0.2","83.2","-11.8","85.1","1.15","48.0","-2.0","1.9",0
"pw",,,"132.1","141.6","96.2","30.2","1.3","102.5","-9.3","85.7","1.12","53.1","-0.0","3.8",0
"pw",,,"128.5","137.6","94.2","29.7","2.0","96.4","-0.9","85.7","1.10","52.1","-2.2","0.1",0
"pw",,,"121.3","130.5","89.5","28.5","1.2","82.1","8.6","85.1","1.05","49.4","-1.0","-1.0",5
"pw",,,"103.9","114.1","83.2","27.2","-1.9","66.1","-4.4","85.1","0.98","45.6","-1.0","-1.0",3
"pw",,,"132.3","141.1","98.3","28.6","0.1","101.2","-5.4","86.2","1.14","52.3","-1.2","-0.5",0
"pw",,,"121.2","131.6","91.6","26.4","-2.3","79.2","-4.1","92.0","1.00","47.9","-4.3","-3.8",0
"pw",,,"142.0","152.7","102.5","26.2","-3.2","100.9","-11.3","87.4","1.17","51.4","-4.1","-1.2",0
"pw",,,"139.6","151.7","97.4","23.7","-3.5","72.3","-11.3","30.9","3.15","40.6","-1.0","-1.0",3
"pw",,,"135.1","144.7","99.9","24.6","-2.5","89.1","-7.6","87.9","1.14","49.2","-4.3","-1.2",0
"8i",,,"156.8","168.2","109.2","22.7","2.7","100.0","22.5","92.9","1.18","49.7","-4.4","-3.3",0
"8i",,,"82.9","100.8","90.9","10.3","13.6","22.3","33.1","90.7","1.00","21.6","-4.4","-1.9",0
"8i",,,"149.0","170.2","112.9","9.3","-7.1","42.1","-30.8","91.2","1.24","30.1","-3.5","-2.3",0
"8i",,,"157.5","169.0","108.5","22.2","-2.6","96.5","-6.7","87.9","1.23","48.9","-3.7","-3.3",0
"8i",,,"165.2","177.5","108.6","23.2","-1.0","88.6","-3.3","25.6","4.24","42.4","-1.0","-1.0",3
"8i",,,"135.0","145.5","100.5","19.6","4.9","70.0","34.4","90.7","1.11","42.8","-3.9","-4.2",0
"8i",,,"132.5","143.9","96.0","21.8","0.7","70.9","4.1","86.8","1.11","44.0","-2.7","-1.3",0
"8i",,,"167.0","178.8","115.1","21.9","-3.5","108.5","-10.8","89.6","1.29","50.5","-3.2","-3.4",0
"8i",,,"161.2","171.8","113.2","22.9","0.6","109.3","8.1","93.0","1.22","51.1","-5.6","-2.4",0
"8i",,,"161.7","172.7","112.5","19.0","-3.6","89.4","-0.8","91.2","1.23","46.7","-6.5","-4.4",0
"8i",,,"169.4","180.5","116.7","20.3","-3.6","103.8","-18.3","95.1","1.23","49.5","-5.0","-1.3",0
"8i",,,"152.3","163.2","107.4","21.4","0.5","90.5","6.3","92.4","1.16","47.8","-0.7","-4.2",0
"8i",,,"173.3","184.3","118.3","21.1","-1.4","111.3","-2.9","93.5","1.27","50.8","-4.8","-1.9",0
"8i",,,"172.7","185.3","119.1","16.3","-4.2","88.2","-24.6","94.6","1.26","45.7","-4.8","-1.9",0
"8i",,,"173.9","185.0","120.8","17.8","-6.2","99.6","-34.9","94.0","1.29","47.9","-5.8","-2.9",0
"8i",,,"172.0","183.7","118.8","17.9","-4.5","96.2","-23.0","95.7","1.24","47.6","-6.1","-2.4",0
"6i",,,"190.6","201.5","130.2","15.6","-1.2","104.7","0.8","99.0","1.31","47.6","-5.4","-3.3",0
"6i",,,"179.2","192.4","123.5","14.1","-1.4","83.6","5.5","95.7","1.29","43.2","-5.1","-2.4",0
"6i",,,"187.7","200.4","128.1","14.8","-2.3","96.2","-8.1","97.9","1.31","45.9","-4.2","-2.1",0
"6i",,,"158.4","172.2","109.6","16.8","-3.2","72.4","-5.3","97.9","1.12","41.2","-4.9","-2.9",0
"6i",,,"180.3","193.1","123.1","17.0","-0.3","99.1","15.9","94.6","1.30","47.0","-4.3","-4.2",0
"6i",,,"191.3","205.0","130.9","12.2","-3.3","84.8","-11.0","97.4","1.34","42.7","-6.0","-1.9",0
"6i",,,"172.4","184.8","120.7","14.1","-2.2","78.6","-5.7","95.7","1.26","42.2","-7.5","-3.6",0
"6i",,,"132.3","145.6","106.7","13.6","9.4","53.1","50.0","95.7","1.11","35.0","-6.8","-3.0",0
"6i",,,"51.1","90.4","80.5","5.5","-15.5","4.4","-13.7","92.9","0.87","7.5","-2.8","-5.9",0
"6i",,,"135.1","150.5","100.3","15.3","-3.6","50.6","-4.4","89.6","1.12","34.6","-3.8","-4.6",0
"6i",,,"149.1","162.5","106.9","15.2","-5.8","60.8","-15.0","88.5","1.21","37.9","-5.5","-5.4",0
"6i",,,"149.2","163.9","107.5","15.2","-4.6","61.7","-12.3","90.1","1.19","38.1","-4.7","-4.3",0
"gw",,,"105.5","115.0","81.2","28.7","-2.4","66.7","-4.4","77.9","1.04","46.9","-3.8","-4.0",0
