"Club Type","Club Brand","Club Model","Carry Distance","Total Distance","Ball Speed","Launch Angle","Launch Direction","Apex","Side Carry","Club Speed","Smash Factor","Descent Angle","Attack Angle","Club Path","Club Data Est Type"
"pw",,,"131.7","143.2","93.5","26.4","-1.3","83.1","-6.3","77.4","1.21","48.5","0.0","0.0",
"pw",,,"124.7","136.9","91.1","24.3","-6.0","70.9","-22.4","79.6","1.14","45.4","0.0","0.0",
"pw",,,"122.1","132.4","93.0","24.2","-5.7","74.1","-20.6","79.0","1.18","46.0","0.0","0.0",
"pw",,,"112.4","122.8","87.7","26.7","4.0","72.7","-4.2","79.0","1.11","46.9","0.0","0.0",
"pw",,,"138.9","149.2","100.1","23.3","1.0","84.0","-11.3","81.8","1.22","47.6","0.0","0.0",
"pw",,,"134.7","144.5","98.4","24.2","3.1","84.2","3.4","81.8","1.20","48.1","0.0","0.0",
"pw",,,"132.7","142.5","95.8","22.4","1.8","72.6","-3.5","80.1","1.20","45.0","0.0","0.0",
"pw",,,"137.4","148.1","98.6","24.7","1.1","86.8","-7.7","82.4","1.20","48.7","0.0","0.0",
"pw",,,"130.0","139.5","95.1","30.8","5.9","102.3","13.2","82.4","1.15","53.4","0.0","0.0",
"pw",,,"141.1","152.4","99.1","26.5","2.7","94.8","-5.4","85.1","1.16","50.7","0.0","0.0",
"pw",,,"134.9","145.0","98.0","29.3","5.8","103.4","11.7","81.8","1.20","52.9","0.0","0.0",
"pw",,,"117.0","126.2","89.9","32.2","4.5","95.4","9.1","82.9","1.08","53.0","0.0","0.0",
"pw",,,"134.8","145.0","98.2","27.9","5.3","98.4","7.8","84.0","1.17","51.8","0.0","0.0",
"8i",,,"128.3","141.7","96.7","22.0","1.7","72.6","-20.2","84.6","1.14","44.5","0.0","0.0",
"8i",,,"142.8","154.8","101.2","26.1","9.9","97.3","39.5","39.4","2.57","50.1","0.0","0.0",
"8i",,,"123.8","133.7","92.6","25.8","4.6","79.0","9.7","77.9","1.19","47.2","0.0","0.0",
"8i",,,"155.8","168.7","106.8","25.8","4.6","108.3","14.3","81.2","1.31","51.7","0.0","0.0",
"8i",,,"153.6","164.6","108.8","19.8","5.5","86.0","16.8","84.0","1.29","46.4","0.0","0.0",
"8i",,,"157.5","170.0","109.0","18.0","2.3","78.4","0.8","82.9","1.31","44.1","0.0","0.0",
"8i",,,"156.8","168.4","108.5","21.1","4.9","91.5","15.9","84.0","1.29","47.8","0.0","0.0",
"8i",,,"160.6","172.1","111.7","18.4","5.3","85.1","18.8","87.4","1.28","45.9","0.0","0.0",
"8i",,,"155.3","167.3","105.4","22.6","7.2","91.8","24.5","84.0","1.25","48.5","0.0","0.0",
"8i",,,"160.8","173.5","107.9","22.8","6.4","97.9","18.7","83.5","1.29","49.4","0.0","0.0",
"8i",,,"158.5","169.9","109.7","21.1","6.5","93.6","16.5","83.5","1.31","48.2","0.0","0.0",
"8i",,,"141.9","158.1","97.4","22.5","4.8","76.2","-4.8","84.6","1.15","45.6","0.0","0.0",
"8i",,,"160.7","171.6","111.0","19.0","4.9","86.7","10.2","85.7","1.30","46.3","0.0","0.0",
"8i",,,"162.8","174.6","113.2","21.7","0.5","103.5","-23.2","84.6","1.34","49.6","0.0","0.0",
"8i",,,"152.7","166.1","107.3","17.9","3.5","74.7","0.4","85.1","1.26","43.4","0.0","0.0",
"8i",,,"143.0","155.9","101.9","18.8","1.7","69.1","-11.3","85.1","1.20","42.4","0.0","0.0",
"8i",,,"150.3","162.5","103.3","24.6","6.2","95.9","-2.4","82.4","1.25","49.6","0.0","0.0",
"8i",,,"153.7","164.6","109.3","22.4","4.3","99.0","-6.6","85.1","1.28","49.4","0.0","0.0",
"8i",,,"126.3","141.7","95.0","19.5","4.2","60.5","-13.5","81.2","1.17","40.6","0.0","0.0",
"8i",,,"137.4","148.0","100.1","21.2","6.5","75.7","5.5","84.0","1.19","45.0","0.0","0.0",
"8i",,,"158.3","169.4","109.0","22.0","7.6","96.6","22.1","85.1","1.28","49.1","0.0","0.0",
"8i",,,"173.5","185.9","116.6","24.6","5.4","125.1","5.8","86.8","1.34","53.7","0.0","0.0",
"8i",,,"167.5","179.8","112.9","21.4","5.9","101.6","7.3","87.4","1.29","49.6","0.0","0.0",
"8i",,,"141.7","155.9","110.1","12.0","-1.8","51.8","-31.4","86.2","1.28","34.7","0.0","0.0",
"8i",,,"168.8","182.3","111.9","20.5","2.8","95.1","-6.6","85.7","1.31","48.1","0.0","0.0",
"8i",,,"158.1","171.0","109.8","20.6","5.5","91.4","11.7","87.4","1.26","47.7","0.0","0.0",
"8i",,,"177.3","190.9","116.7","20.8","2.4","106.7","-2.0","87.9","1.33","50.0","0.0","0.0",
"6i",,,"146.5","166.1","102.6","16.6","5.1","60.4","2.6","87.9","1.17","38.4","0.0","0.0",
"6i",,,"150.2","168.1","102.7","20.1","6.9","75.8","15.9","86.8","1.18","43.8","0.0","0.0",
"6i",,,"158.0","176.4","106.9","17.9","7.1","73.8","5.0","88.5","1.21","42.5","0.0","0.0",
"6i",,,"178.2","193.4","115.9","18.1","6.5","90.8","33.6","86.8","1.33","45.9","0.0","0.0",
"6i",,,"176.0","191.3","117.9","14.7","2.8","77.0","4.3","86.8","1.36","41.8","0.0","0.0",
"6i",,,"152.6","170.0","109.1","13.5","4.0","56.6","9.6","87.4","1.25","36.3","0.0","0.0",
"6i",,,"170.4","185.8","116.3","14.9","2.2","75.2","-10.2","86.8","1.34","41.5","0.0","0.0",
"6i",,,"157.3","172.1","111.9","15.8","5.4","72.3","20.9","89.0","1.26","41.3","0.0","0.0",
"6i",,,"181.2","194.0","122.7","16.9","5.9","97.3","16.1","87.4","1.40","46.5","0.0","0.0",
"6i",,,"186.5","204.0","119.7","16.9","2.9","91.5","4.2","86.8","1.38","45.4","0.0","0.0",
"6i",,,"177.5","195.9","122.1","16.2","3.7","92.5","11.4","89.6","1.36","45.4","0.0","0.0",
"6i",,,"111.0","147.5","107.2","6.7","1.5","22.4","1.8","87.9","1.22","19.7","0.0","0.0",
"6i",,,"163.6","177.2","117.2","14.0","2.1","71.8","-20.8","88.5","1.32","40.4","0.0","0.0",
"6i",,,"162.6","175.8","116.2","14.8","-0.7","74.4","-33.1","87.9","1.32","41.2","0.0","0.0",
"6i",,,"160.5","176.0","114.1","17.2","3.6","82.9","-22.5","87.9","1.30","44.0","0.0","0.0",
"6i",,,"174.7","191.7","114.9","19.1","5.5","93.9","9.3","90.1","1.27","46.9","0.0","0.0",
"6i",,,"169.2","184.2","115.7","17.5","3.0","87.5","-11.9","89.0","1.30","45.0","0.0","0.0",
"6i",,,"131.3","143.7","96.7","18.7","4.7","59.4","10.6","87.4","1.11","39.0","0.0","0.0",
"6i",,,"170.8","188.9","112.4","17.8","4.9","83.0","5.1","90.7","1.24","44.4","0.0","0.0",
"6i",,,"178.8","192.4","120.3","16.0","4.4","88.4","8.7","90.7","1.33","44.7","0.0","0.0",
"6i",,,"161.6","175.7","109.4","19.6","5.5","86.0","23.7","89.6","1.22","45.7","0.0","0.0",
"6i",,,"178.6","194.0","116.3","17.6","4.9","89.0","-2.3","87.4","1.33","45.3","0.0","0.0",
"6i",,,"186.8","202.3","120.2","18.7","4.1","102.6","1.5","88.5","1.36","48.0","0.0","0.0",
"6i",,,"184.5","200.0","120.4","19.0","4.0","104.6","-7.7","87.9","1.37","48.4","0.0","0.0",
"6i",,,"187.0","200.8","122.0","19.2","6.5","108.7","27.4","89.0","1.37","49.2","0.0","0.0",
"6i",,,"177.3","190.5","120.2","17.4","6.0","95.6","30.7","89.0","1.35","46.5","0.0","0.0",
"6i",,,"187.7","202.7","124.7","14.7","1.5","89.1","-12.7","90.1","1.38","44.3","0.0","0.0",
"6i",,,"167.3","182.4","109.9","19.5","7.6","86.7","24.0","89.0","1.23","45.8","0.0","0.0",
"6i",,,"180.3","195.7","122.6","13.6","3.3","79.2","4.6","91.8","1.34","42.1","0.0","0.0",
"6i",,,"159.9","175.0","106.9","18.7","6.3","77.3","10.9","87.4","1.22","43.6","0.0","0.0",
"6i",,,"182.3","196.1","120.4","18.6","4.1","102.2","3.3","87.9","1.37","47.9","0.0","0.0",
"4i",,,"157.0","173.4","113.0","13.9","2.7","62.6","-12.4","91.2","1.24","37.2","0.0","0.0",
"4i",,,"172.4","189.6","118.0","14.2","8.8","73.0","52.1","89.0","1.33","40.0","0.0","0.0",
"4i",,,"136.1","158.1","105.9","13.1","6.1","48.3","2.5","86.2","1.23","32.6","0.0","0.0",
