"Club Type","Club Brand","Club Model","Carry Distance","Total Distance","Ball Speed","Launch Angle","Launch Direction","Apex","Side Carry","Club Speed","Smash Factor","Descent Angle","Attack Angle","Club Path","Club Data Est Type"
"9i",,,"154.4","167.6","104.3","23.6","-4.1","93.9","-18.6","92.7","1.12","49.3","-2.0","-2.5",0
"9i",,,"128.7","138.5","94.5","28.0","-0.1","90.9","3.9","85.7","1.10","50.4","-1.5","-0.8",0
"9i",,,"144.4","155.2","102.8","22.0","-9.2","84.4","-32.1","86.2","1.19","47.0","-3.0","-4.9",0
"9i",,,"146.7","158.0","103.1","27.2","-0.7","106.4","-0.4","89.6","1.15","52.3","1.6","-1.4",0
"9i",,,"136.9","147.6","99.9","26.2","-0.2","95.2","-6.0","90.3","1.11","50.4","0.2","1.3",0
"9i",,,"146.5","156.3","105.1","26.0","-2.0","105.8","-6.6","89.0","1.18","51.8","-1.6","-1.8",0
"9i",,,"141.3","151.8","102.0","22.7","-0.4","85.5","4.5","87.4","1.17","47.7","-1.0","-1.0",3
"9i",,,"143.4","154.7","102.7","23.0","-3.3","88.0","-9.9","87.9","1.17","48.2","-1.8","-0.8",0
"9i",,,"140.9","151.2","102.3","23.8","-0.3","90.5","2.8","86.8","1.18","48.8","-2.3","-0.3",0
"9i",,,"145.2","155.6","104.5","22.1","-2.9","87.8","-1.4","86.8","1.20","47.8","-1.0","-2.0",0
"9i",,,"115.8","126.8","88.0","25.7","-0.2","70.2","-2.8","84.0","1.05","45.6","1.7","0.6",0
"9i",,,"144.4","154.4","104.0","27.0","0.6","107.3","8.6","87.9","1.18","52.3","-0.7","-2.1",0
"9i",,,"146.8","158.4","103.3","25.7","2.4","100.8","4.7","87.9","1.18","51.1","0.4","2.7",0
"9i",,,"156.5","166.8","111.5","24.4","-0.2","112.6","-0.9","93.5","1.19","52.3","-2.7","-0.0",0
"9i",,,"148.3","159.0","105.8","25.9","-0.6","106.7","-7.8","92.4","1.15","52.0","-2.0","1.2",0
"9i",,,"151.4","162.6","107.7","25.1","0.3","107.4","7.8","91.8","1.17","51.8","-0.9","-1.3",0
"7i",,,"174.5","185.7","120.5","21.7","2.5","119.1","27.5","94.0","1.28","51.9","-1.9","-1.1",0
"7i",,,"179.6","191.0","121.7","19.7","-3.1","111.2","-22.4","92.9","1.31","50.0","-1.1","0.0",0
"7i",,,"174.6","186.0","119.6","22.0","2.8","118.9","30.1","95.7","1.25","52.1","-1.6","-2.5",0
"7i",,,"170.6","182.1","116.1","20.3","2.3","102.9","17.7","92.4","1.26","49.1","-1.0","-1.0",4
"7i",,,"173.0","187.3","116.8","15.5","-2.2","80.1","-1.4","91.8","1.27","43.5","-2.8","-2.4",0
"7i",,,"182.5","195.8","120.4","18.4","-2.9","101.6","-6.6","91.8","1.31","48.1","-3.0","-2.1",0
"7i",,,"173.8","184.3","120.4","19.9","2.8","109.4","23.8","94.0","1.28","50.0","-2.1","-1.2",0
"7i",,,"186.1","199.6","122.4","18.1","-0.8","103.8","9.2","92.4","1.33","48.4","-3.1","-3.6",0
