"Club Type","Club Brand","Club Model","Carry Distance","Total Distance","Ball Speed","Launch Angle","Launch Direction","Apex","Side Carry","Club Speed","Smash Factor","Descent Angle","Attack Angle","Club Path","Club Data Est Type"
"pw",,,"112.1","121.4","85.7","28.8","0.3","75.6","3.3","88.5","0.97","48.2","-1.5","-1.5",0
"pw",,,"115.0","127.0","88.6","32.9","3.0","94.7","5.7","89.0","1.00","53.2","-4.3","-2.6",0
"pw",,,"125.3","140.0","95.0","22.8","1.2","72.7","2.6","86.8","1.09","45.4","-5.1","-1.1",0
"pw",,,"109.8","119.0","85.9","36.7","7.2","100.0","22.9","85.7","1.00","55.9","-3.9","-2.8",0
"pw",,,"121.3","133.4","92.4","32.0","2.0","100.2","4.0","89.0","1.04","53.6","-4.7","-1.2",0
"pw",,,"131.0","140.1","97.0","30.1","-0.5","104.0","7.6","84.6","1.15","53.2","-4.8","-4.0",0
"pw",,,"112.3","124.4","87.3","33.7","2.0","94.2","3.8","84.0","1.04","53.5","-4.4","-6.7",0
"pw",,,"86.7","102.3","87.9","12.6","10.6","27.0","30.5","82.3","1.07","25.3","-4.1","0.2",0
"pw",,,"130.2","143.2","91.7","29.3","-2.4","89.6","-6.4","84.0","1.09","50.9","-5.1","-4.6",0
"pw",,,"104.7","116.8","82.4","30.5","5.3","74.3","9.4","86.2","0.96","48.8","-5.7","-6.5",0
"pw",,,"32.8","62.0","82.0","7.6","6.1","8.9","5.9","82.9","0.99","12.0","-5.0","-8.1",0
"pw",,,"112.2","126.7","87.3","22.9","2.6","59.7","4.9","84.6","1.03","42.2","-7.2","-2.6",0
"pw",,,"125.2","139.2","99.2","13.5","-2.1","43.7","6.8","85.7","1.16","32.8","-6.4","-3.9",0
"pw",,,"128.8","142.7","96.7","25.5","0.1","86.2","0.0","85.7","1.13","49.0","-6.6","-3.8",0
"pw",,,"136.8","146.9","99.7","22.9","-4.5","82.0","-12.6","85.1","1.17","47.1","-5.8","-4.3",0
"pw",,,"121.6","130.8","91.9","23.2","1.8","68.4","10.9","83.5","1.10","44.6","-5.4","-2.0",0
"pw",,,"127.2","137.2","95.0","22.1","-2.6","70.0","1.8","82.9","1.15","44.4","-5.0","-3.9",0
"pw",,,"128.1","142.7","96.3","23.4","-3.9","77.6","-9.0","84.6","1.14","46.6","-4.5","-5.0",0
"8i",,,"131.8","161.4","115.1","6.2","1.2","28.1","16.3","88.5","1.30","22.5","-5.7","-2.7",0
"8i",,,"165.0","177.2","113.7","21.2","1.9","102.1","16.9","90.7","1.25","49.6","-5.8","-2.5",0
"8i",,,"118.0","130.9","97.7","14.9","9.6","46.9","41.1","91.2","1.07","34.3","-5.0","-2.1",0
"8i",,,"165.0","175.7","114.1","23.4","2.0","113.7","13.3","92.4","1.24","51.8","-3.1","-2.1",0
"8i",,,"147.8","157.9","106.5","25.0","1.5","104.6","12.2","88.5","1.20","51.0","-1.8","-3.8",0
"8i",,,"155.0","166.5","108.4","24.6","2.4","106.6","12.7","88.5","1.23","51.1","-2.8","-3.6",0
"8i",,,"151.4","162.0","109.1","18.2","-3.5","79.2","-7.9","86.8","1.26","44.4","-4.9","-5.0",0
"8i",,,"157.7","174.2","112.5","20.2","-0.3","95.1","-1.0","88.5","1.27","48.0","-5.3","-3.5",0
"8i",,,"160.9","172.3","111.7","21.9","-4.2","101.3","-15.2","87.4","1.28","49.4","-2.8","-5.1",0
"8i",,,"144.7","155.3","104.4","20.5","-1.0","80.8","13.8","88.5","1.18","45.7","-3.6","-3.7",0
"8i",,,"131.1","153.0","101.6","12.0","1.7","40.2","3.5","90.7","1.12","30.5","-4.9","-3.4",0
"8i",,,"147.1","165.7","107.2","16.6","-2.6","68.8","-7.0","89.6","1.20","41.5","-5.7","-4.2",0
"8i",,,"158.0","173.1","112.4","22.9","2.0","108.0","5.1","90.7","1.24","50.9","-3.2","-2.8",0
"8i",,,"152.5","166.6","109.4","26.5","4.8","117.8","12.5","89.0","1.23","53.4","-1.4","-1.3",0
"8i",,,"158.3","170.1","109.6","25.6","1.9","114.1","18.4","87.4","1.26","52.4","-1.5","-3.7",0
"8i",,,"148.3","162.6","107.8","16.4","-0.0","69.1","22.1","86.8","1.24","41.6","-3.2","-4.5",0
"8i",,,"146.0","157.5","103.5","24.0","-0.4","93.9","15.3","85.1","1.22","49.0","-3.2","-5.6",0
"8i",,,"140.0","152.4","99.4","23.8","1.3","80.6","-1.3","25.9","3.84","43.9","-1.0","-1.0",3
"6i",,,"168.0","186.0","116.7","17.5","0.1","89.3","-0.1","91.2","1.28","45.4","-2.8","-3.8",0
"6i",,,"165.2","177.3","115.3","21.8","4.5","108.3","40.0","89.4","1.29","50.2","-2.1","-5.0",0
"6i",,,"167.9","185.2","116.6","18.5","3.1","94.2","8.7","90.1","1.29","46.6","-3.7","-3.5",0
"6i",,,"164.7","177.2","115.4","18.1","3.7","90.3","37.9","90.7","1.27","45.8","-4.1","-4.5",0
"6i",,,"160.9","173.5","113.1","21.9","4.6","104.4","41.4","94.2","1.20","49.8","-2.7","-4.9",0
"6i",,,"129.8","148.5","96.7","16.2","-1.0","49.1","-8.3","88.5","1.09","34.6","0.1","-1.4",0
"6i",,,"173.7","190.2","120.6","20.3","3.9","112.1","11.4","92.9","1.30","50.2","-2.1","-3.0",0
"6i",,,"99.3","114.7","97.3","11.4","9.5","30.6","34.3","93.5","1.04","25.0","-4.8","-3.5",0
"6i",,,"173.0","191.4","119.8","15.9","-1.3","87.0","-4.2","93.5","1.28","44.4","-3.4","-4.9",0
"6i",,,"143.3","156.1","108.7","14.7","3.0","61.1","31.5","92.4","1.18","37.8","-3.5","-3.0",0
"6i",,,"191.9","207.6","123.3","16.8","-2.4","98.0","-7.2","91.8","1.34","46.6","-2.8","-4.3",0
"6i",,,"175.8","187.8","121.6","18.7","-0.3","105.3","22.6","92.9","1.31","48.5","-3.8","-6.2",0
"6i",,,"159.1","170.3","113.0","22.0","4.6","104.4","41.2","90.7","1.25","49.7","-3.2","-7.4",0
"6i",,,"171.8","185.5","115.3","18.8","1.2","93.1","20.3","87.9","1.31","46.4","-2.4","-5.1",0
"6i",,,"143.9","161.8","103.7","17.3","0.4","65.1","0.7","86.8","1.19","40.0","-1.7","-5.2",0
"d",,,"222.8","242.7","139.6","13.3","1.0","96.5","3.3","107.3","1.30","41.7","1.1","-7.3",0
"d",,,"213.8","235.6","135.9","11.9","-6.3","79.7","-23.9","106.8","1.27","37.7","-4.9","-3.0",0
"d",,,"223.3","239.0","141.9","13.2","-7.8","94.4","-20.7","105.7","1.34","40.2","-1.0","-1.0",5
"d",,,"234.4","252.9","143.8","15.5","-2.8","116.8","-11.7","107.3","1.34","45.2","-1.0","-1.0",5
"d",,,"237.9","254.2","148.3","13.3","-4.4","105.2","-10.8","110.0","1.35","41.9","-1.0","-1.0",5
"d",,,"220.0","234.4","143.2","14.7","-4.6","113.7","16.7","111.8","1.28","45.3","-3.8","-24.9",0
"d",,,"229.9","247.9","142.2","16.8","-0.3","125.8","-1.8","106.2","1.34","47.3","-1.0","-1.0",1
"d",,,"222.9","248.4","142.3","9.1","-11.5","68.6","-58.7","107.3","1.33","34.0","-4.4","-5.6",0
"d",,,"241.2","261.0","146.7","13.1","-6.2","99.6","-26.6","107.3","1.37","40.6","-1.0","-1.0",5
"d",,,"215.3","230.8","140.0","13.9","-6.8","99.1","-19.5","106.2","1.32","41.9","-1.0","-1.0",1
"d",,,"227.1","249.1","142.0","11.5","-7.0","85.0","-28.1","107.3","1.32","38.3","-1.0","-1.0",5
"d",,,"210.0","232.6","135.7","10.2","-8.7","67.6","-32.3","104.6","1.30","34.2","-1.0","-1.0",5
"d",,,"229.3","245.1","149.3","12.5","-2.3","100.5","22.4","110.3","1.35","40.8","-1.1","5.4",0
"d",,,"211.6","243.2","141.4","6.8","-6.6","50.1","-24.7","111.0","1.27","27.8","-1.0","-1.0",5
"d",,,"232.2","249.0","147.7","10.4","-5.0","83.5","-8.2","112.4","1.31","37.2","-1.0","-1.0",5
"d",,,"237.4","257.1","145.4","14.0","-4.8","107.8","-20.3","109.3","1.33","43.1","-1.0","-1.0",5
"d",,,"237.2","255.6","146.1","15.0","-4.1","119.0","-17.3","111.2","1.31","45.7","-1.0","-1.0",4
