"Club Type","Club Brand","Club Model","Carry Distance","Total Distance","Ball Speed","Launch Angle","Launch Direction","Apex","Side Carry","Club Speed","Smash Factor","Descent Angle","Attack Angle","Club Path","Club Data Est Type"
"pw",,,"117.1","125.7","88.9","24.0","1.9","65.9","2.2","80.7","1.10","44.3","-1.3","4.2",0
"pw",,,"109.2","119.1","84.8","30.2","2.3","78.2","6.8","81.2","1.04","49.5","-2.3","2.4",0
"pw",,,"117.7","126.7","90.8","27.9","-1.3","82.8","-7.5","81.2","1.12","49.2","-0.6","3.1",0
"pw",,,"121.5","130.5","91.8","31.3","-0.9","96.5","-9.4","82.4","1.11","52.6","0.6","1.7",0
"pw",,,"122.8","131.8","91.7","29.6","-0.9","90.3","-10.1","82.4","1.11","51.0","-0.8","2.8",0
"pw",,,"111.0","120.2","86.5","32.2","5.4","87.9","12.3","85.7","1.01","51.9","-0.8","3.5",0
"pw",,,"119.3","127.0","93.0","33.3","3.2","106.0","10.3","82.9","1.12","54.9","-1.4","0.8",0
"pw",,,"126.5","134.1","96.4","30.2","1.0","103.2","0.5","83.5","1.16","53.1","-1.1","1.5",0
"pw",,,"136.3","146.1","99.3","28.8","-0.2","104.3","-0.1","85.1","1.17","52.7","-1.9","1.0",0
"pw",,,"125.9","135.5","95.3","26.8","-3.6","88.1","-8.6","85.7","1.11","49.7","-1.9","-0.4",0
"pw",,,"123.8","133.0","93.5","26.1","2.3","81.9","3.4","85.1","1.10","48.5","-2.0","2.7",0
"pw",,,"129.5","138.5","97.5","31.0","2.1","108.5","4.0","84.0","1.16","54.2","-0.6","1.8",0
"pw",,,"123.8","133.7","92.1","29.6","-1.9","91.5","-10.6","87.4","1.05","51.4","-0.1","1.5",0
"pw",,,"125.7","136.4","91.6","31.0","5.2","95.1","15.4","88.5","1.04","52.5","-0.3","4.0",0
"pw",,,"127.3","136.9","94.9","28.9","3.3","94.9","6.5","87.9","1.08","51.7","-2.6","3.8",0
"pw",,,"128.5","137.4","98.0","24.5","2.0","84.7","10.6","87.9","1.11","48.4","-3.4","0.8",0
"pw",,,"127.7","137.3","94.3","30.1","3.4","98.1","10.1","84.6","1.12","52.5","-0.5","2.4",0
"8i",,,"149.3","160.6","104.9","25.4","2.3","102.4","1.7","87.9","1.19","50.8","0.2","1.4",0
"8i",,,"145.7","155.8","107.2","23.8","3.2","100.7","10.8","89.6","1.20","50.2","-0.5","3.5",0
"8i",,,"157.0","168.1","111.1","24.6","1.0","112.6","-2.6","89.0","1.25","51.9","-0.3","2.0",0
"8i",,,"145.8","156.8","103.1","22.9","2.1","88.4","-2.1","89.0","1.16","47.9","0.2","3.7",0
"8i",,,"156.4","167.3","109.8","22.2","-0.5","98.9","-5.2","89.6","1.23","49.3","-1.4","1.2",0
"8i",,,"151.1","162.1","106.7","22.6","2.3","94.6","6.1","92.4","1.16","48.8","-1.9","2.0",0
"8i",,,"150.5","161.3","106.8","21.3","-0.4","89.0","-6.2","91.2","1.17","47.5","-2.5","1.9",0
"8i",,,"145.1","156.7","101.9","23.4","1.3","88.5","-0.8","86.2","1.18","48.1","-0.2","1.3",0
"8i",,,"126.4","137.7","92.9","21.4","0.7","63.7","0.4","90.7","1.02","41.9","-1.8","2.3",0
"8i",,,"159.2","170.7","110.5","25.3","1.4","114.4","10.1","89.0","1.24","52.4","-1.0","-1.0",3
"8i",,,"163.7","174.5","114.9","22.3","-1.3","110.3","1.3","90.7","1.27","50.9","-2.2","-1.9",0
"8i",,,"164.0","174.9","113.6","22.2","-2.7","107.0","-8.5","91.2","1.24","50.5","-2.4","-0.3",0
"8i",,,"172.9","184.4","118.3","19.5","-4.9","103.3","-31.8","90.7","1.30","49.0","-2.3","0.4",0
"8i",,,"164.6","175.6","113.7","22.2","-2.5","106.9","-21.8","91.2","1.25","50.4","-0.8","0.5",0
"8i",,,"163.8","174.0","115.6","19.7","1.1","98.7","-1.9","90.1","1.28","48.5","-4.0","2.4",0
"8i",,,"161.5","174.1","114.8","17.0","0.2","84.1","7.6","92.4","1.24","45.2","-1.0","0.6",0
"8i",,,"151.3","161.9","108.4","21.2","0.6","91.4","11.3","90.7","1.20","47.9","-3.9","0.2",0
"8i",,,"154.1","165.3","109.2","23.0","-1.5","101.5","-16.8","90.1","1.21","50.0","-0.4","2.1",0
"6i",,,"188.2","202.0","126.3","17.3","-5.6","106.4","-35.1","90.7","1.39","48.0","-0.1","-1.0",0
"6i",,,"169.9","182.6","114.8","19.6","-1.6","96.2","-8.4","87.9","1.31","47.3","0.6","-1.0",0
"6i",,,"182.9","196.7","123.1","16.8","-3.9","97.9","-19.1","91.8","1.34","46.6","-1.4","-1.1",0
"6i",,,"163.0","175.4","112.4","19.1","-1.3","89.2","-5.1","90.1","1.25","46.0","0.5","-1.2",0
"6i",,,"193.5","208.7","126.4","15.6","-3.1","97.0","-22.8","92.9","1.36","46.0","-2.2","0.7",0
"6i",,,"175.5","189.0","117.1","18.2","0.4","93.9","8.6","92.4","1.27","46.5","-2.2","-0.3",0
"6i",,,"156.4","169.1","109.0","18.5","1.6","79.7","8.6","93.5","1.17","43.7","-1.2","-0.1",0
"6i",,,"182.5","195.3","122.3","20.0","1.4","113.7","6.4","92.9","1.32","50.3","-0.9","0.4",0
"6i",,,"174.6","187.6","118.2","17.1","-0.5","90.0","-0.6","90.1","1.31","45.3","-2.0","-0.7",0
"6i",,,"104.5","125.9","108.5","8.5","2.7","32.5","25.8","90.7","1.20","25.5","-1.9","-0.3",0
"6i",,,"143.0","156.3","102.4","19.0","-2.2","70.3","-18.7","87.4","1.17","41.9","1.0","-0.9",0
"6i",,,"177.0","190.7","117.1","19.2","-0.7","99.0","1.5","90.1","1.30","47.7","-0.3","-1.3",0
"6i",,,"172.6","184.2","117.2","20.1","-2.4","103.4","-5.1","87.9","1.33","48.6","-1.6","-2.5",0
"6i",,,"163.9","176.1","113.1","19.8","-0.5","94.1","12.7","87.9","1.29","47.0","-1.4","-2.3",0
"6i",,,"159.9","170.9","112.7","18.1","0.4","84.9","-3.8","89.6","1.26","44.7","-0.8","-1.7",0
"6i",,,"163.0","175.4","113.3","19.5","-1.8","92.9","-21.3","89.0","1.27","46.7","1.2","1.3",0
"6i",,,"175.7","187.9","120.0","20.0","-1.5","108.9","-8.6","91.2","1.32","49.5","0.2","-1.1",0
"6i",,,"150.8","164.1","105.2","21.1","0.3","84.2","-7.3","93.5","1.13","45.6","0.9","0.8",0
"6i",,,"179.3","192.0","123.4","16.3","1.2","95.9","3.5","94.0","1.31","46.2","-3.4","-0.6",0
"6i",,,"166.1","179.6","113.6","18.8","0.7","90.1","4.0","91.8","1.24","46.0","-1.7","-0.1",0
"4i",,,"183.4","199.2","124.2","13.0","-3.7","75.7","-28.9","94.6","1.31","40.0","-1.9","-1.8",0
"4i",,,"196.0","211.3","129.7","14.8","-4.2","96.3","-28.6","94.0","1.38","44.6","-0.6","-1.0",0
"4i",,,"191.6","205.2","128.5","15.9","0.9","101.1","18.8","95.7","1.34","45.8","-2.4","-1.9",0
"4i",,,"142.4","159.1","106.3","14.2","-2.9","53.9","-21.1","88.5","1.20","34.7","-1.4","-0.0",0
"4i",,,"143.3","159.7","105.6","13.4","-1.9","49.4","-11.6","84.0","1.26","33.1","-2.4","-0.4",0
"4i",,,"149.6","167.2","110.5","11.8","1.1","48.4","7.8","86.8","1.27","32.1","-3.2","0.3",0
"4i",,,"129.7","156.2","109.8","7.2","1.1","24.6","10.8","91.2","1.20","19.9","-3.2","-0.2",0
"4i",,,"187.9","203.4","123.8","14.6","-2.1","84.2","-4.7","92.9","1.33","42.3","-1.5","-2.2",0
"4i",,,"167.8","184.0","112.2","16.7","0.4","75.6","9.7","92.9","1.21","41.5","0.4","-1.6",0
"d",,,"209.9","223.3","140.9","15.0","-2.6","104.5","23.7","102.3","1.38","42.3","4.7","-6.3",0
"d",,,"219.7","235.6","143.5","10.4","-3.0","76.3","11.6","104.0","1.38","35.4","0.9","-4.3",0
"d",,,"225.9","243.9","141.7","13.0","-6.2","90.2","-8.2","102.4","1.38","38.8","1.1","-5.8",0
"d",,,"233.8","251.3","144.4","13.8","-5.1","101.4","-9.6","106.2","1.36","41.3","4.1","-4.3",0
