"Club Type","Club Brand","Club Model","Carry Distance","Total Distance","Ball Speed","Launch Angle","Launch Direction","Apex","Side Carry","Club Speed","Smash Factor","Descent Angle","Attack Angle","Club Path","Club Data Est Type"
"pw",,,"109.0","120.4","82.9","28.5","1.9","69.4","-1.9","79.0","1.05","47.0","0.0","0.0",
"pw",,,"129.6","141.4","94.6","26.4","0.1","85.2","-3.0","79.6","1.19","48.9","0.0","0.0",
"pw",,,"125.0","137.1","91.8","26.4","-0.5","79.6","-8.6","81.2","1.13","48.0","0.0","0.0",
"pw",,,"112.9","122.0","87.6","32.3","3.0","90.7","13.2","82.4","1.06","52.3","0.0","0.0",
"pw",,,"123.2","133.2","92.4","28.8","0.5","89.4","-2.8","80.7","1.15","50.6","0.0","0.0",
"pw",,,"127.2","138.9","91.5","27.6","-3.0","83.3","-16.1","81.8","1.12","49.1","0.0","0.0",
"pw",,,"112.7","122.1","87.3","33.5","2.6","93.8","9.1","81.8","1.07","53.3","0.0","0.0",
"pw",,,"118.5","128.9","92.2","26.1","-2.6","79.5","-18.5","81.2","1.13","47.9","0.0","0.0",
"pw",,,"123.8","133.9","92.4","29.6","3.8","91.9","10.9","81.2","1.14","51.3","0.0","0.0",
"pw",,,"111.8","121.1","85.8","28.8","3.2","75.8","8.9","77.9","1.10","48.3","0.0","0.0",
"8i",,,"135.7","147.0","101.2","19.8","-1.5","72.1","-25.7","82.9","1.22","43.5","0.0","0.0",
"8i",,,"144.0","156.0","103.2","23.1","4.3","89.7","18.5","82.9","1.25","48.2","0.0","0.0",
"8i",,,"116.6","130.2","95.7","17.4","-3.7","53.5","-28.5","84.6","1.13","37.5","0.0","0.0",
"8i",,,"136.1","146.8","101.0","21.2","3.4","77.5","21.1","84.6","1.19","45.3","0.0","0.0",
"8i",,,"140.6","150.7","102.5","24.0","3.9","91.9","18.5","85.1","1.20","48.8","0.0","0.0",
"8i",,,"137.2","147.7","100.1","22.6","2.2","81.4","14.5","87.4","1.15","46.5","0.0","0.0",
"8i",,,"150.9","164.2","103.5","20.7","-1.1","79.8","-10.9","85.7","1.21","45.5","0.0","0.0",
"8i",,,"151.7","166.3","102.9","21.2","0.1","81.2","-11.2","85.1","1.21","46.0","0.0","0.0",
"8i",,,"144.7","156.4","103.4","22.4","2.0","87.0","11.4","84.6","1.22","47.5","0.0","0.0",
"8i",,,"150.0","160.7","107.0","21.0","-1.3","88.2","-16.4","85.7","1.25","47.2","0.0","0.0",
"8i",,,"143.4","154.2","103.1","21.0","-1.0","80.5","-0.9","84.6","1.22","45.7","0.0","0.0",
"8i",,,"144.7","158.0","100.7","20.6","2.5","74.5","0.6","85.7","1.18","44.4","0.0","0.0",
"8i",,,"141.5","152.7","103.0","20.6","0.0","78.5","-3.0","86.7","1.19","45.3","0.0","0.0",
"8i",,,"146.8","157.3","105.4","22.0","3.5","89.4","14.4","87.9","1.20","47.9","0.0","0.0",
"8i",,,"146.1","156.8","104.5","20.7","1.9","81.8","13.8","88.5","1.18","46.0","0.0","0.0",
"8i",,,"138.4","148.3","102.3","21.2","0.3","79.7","-9.3","87.3","1.17","45.7","0.0","0.0",
"8i",,,"161.7","172.8","112.4","21.0","2.2","98.5","9.2","87.4","1.29","48.9","0.0","0.0",
"8i",,,"151.0","161.1","108.5","20.5","0.6","88.6","-5.9","89.0","1.22","47.2","0.0","0.0",
"8i",,,"143.3","154.0","104.2","22.1","2.4","87.4","-3.0","85.1","1.22","47.5","0.0","0.0",
"8i",,,"142.2","155.1","104.5","16.2","-1.4","62.3","5.3","87.4","1.20","39.6","0.0","0.0",
"8i",,,"140.2","153.3","100.2","21.1","-0.7","75.6","-6.7","85.1","1.18","44.8","0.0","0.0",
"8i",,,"145.3","155.9","105.4","21.2","1.6","85.8","9.8","86.8","1.21","46.9","0.0","0.0",
"8i",,,"145.7","156.9","104.4","19.8","-4.3","77.7","-9.7","82.9","1.26","44.5","0.0","0.0",
"5i",,,"122.4","144.3","105.2","12.1","-2.5","43.5","-24.6","86.8","1.21","30.8","0.0","0.0",
"5i",,,"147.8","168.1","110.3","14.2","-0.8","61.1","-23.4","87.4","1.26","37.5","0.0","0.0",
"5i",,,"164.6","178.5","114.1","16.8","1.0","80.4","6.9","89.6","1.27","43.1","0.0","0.0",
"5i",,,"161.1","173.7","115.8","16.4","3.0","81.9","28.3","89.0","1.30","43.3","0.0","0.0",
"5i",,,"148.9","169.9","109.1","14.5","-0.0","60.7","-16.6","91.2","1.20","37.3","0.0","0.0",
"5i",,,"159.7","172.8","111.8","17.2","3.4","78.6","9.4","89.0","1.26","42.9","0.0","0.0",
"5i",,,"160.8","180.0","113.4","13.8","-1.3","63.9","-25.2","92.4","1.23","38.1","0.0","0.0",
"5i",,,"159.6","174.7","111.9","14.8","3.8","67.0","26.2","87.4","1.28","39.4","0.0","0.0",
