"Club Type","Club Brand","Club Model","Carry Distance","Total Distance","Ball Speed","Launch Angle","Launch Direction","Apex","Side Carry","Club Speed","Smash Factor","Descent Angle","Attack Angle","Club Path","Club Data Est Type"
"pw",,,"125.6","137.4","90.3","27.2","-3.3","79.4","-11.8","82.9","1.09","48.3","0.0","0.0",
"pw",,,"118.3","133.1","83.9","29.5","5.6","74.1","7.7","80.7","1.04","48.4","0.0","0.0",
"pw",,,"125.5","134.5","95.3","26.9","-3.9","88.7","-4.1","82.9","1.15","49.7","0.0","0.0",
"pw",,,"127.5","138.1","94.9","31.3","1.0","103.7","12.7","83.5","1.14","53.7","0.0","0.0",
"pw",,,"132.2","143.8","95.4","26.9","-4.2","88.8","-25.0","83.2","1.15","49.7","0.0","0.0",
"pw",,,"135.0","146.3","97.6","27.0","-0.7","93.5","2.0","86.8","1.12","50.6","0.0","0.0",
"pw",,,"131.4","142.2","97.5","24.2","-6.4","82.9","-37.3","82.4","1.18","47.7","0.0","0.0",
"pw",,,"135.4","145.6","100.7","27.5","-0.5","102.1","-4.7","86.8","1.16","52.0","0.0","0.0",
"pw",,,"144.2","154.3","103.4","24.8","-3.0","97.1","-7.6","87.4","1.18","50.4","0.0","0.0",
"pw",,,"141.7","153.0","100.9","28.5","-1.9","106.8","-1.4","86.2","1.17","53.0","0.0","0.0",
"pw",,,"137.4","146.4","101.3","26.0","-2.7","97.4","-15.6","86.8","1.17","50.8","0.0","0.0",
"8i",,,"153.1","162.0","110.0","21.8","1.8","97.6","11.9","89.6","1.23","49.1","0.0","0.0",
"8i",,,"156.7","166.3","112.3","20.2","-1.1","94.7","-0.8","92.4","1.22","48.2","0.0","0.0",
"8i",,,"146.5","161.0","102.2","22.2","0.5","83.8","-8.9","91.2","1.12","46.7","0.0","0.0",
"8i",,,"162.1","173.6","113.1","20.5","-0.9","97.8","-5.4","90.7","1.25","48.7","0.0","0.0",
"8i",,,"159.6","172.2","109.3","22.1","-2.1","97.6","-14.6","87.9","1.24","49.0","0.0","0.0",
"8i",,,"159.1","170.4","111.3","20.8","-0.8","95.8","-9.6","88.5","1.26","48.4","0.0","0.0",
"8i",,,"159.9","171.9","110.6","21.9","2.0","99.3","13.7","87.9","1.26","49.3","0.0","0.0",
"8i",,,"158.5","170.6","109.7","20.8","1.2","92.5","-5.9","88.5","1.24","47.9","0.0","0.0",
"5i",,,"150.2","164.4","109.9","13.9","4.7","59.5","32.1","89.6","1.23","37.0","0.0","0.0",
"5i",,,"170.4","189.8","114.2","15.4","3.3","73.7","12.4","92.3","1.24","41.2","0.0","0.0",
"5i",,,"175.9","187.3","122.1","17.1","3.0","97.6","24.0","92.4","1.32","46.5","0.0","0.0",
"5i",,,"131.2","158.7","110.7","13.0","0.7","55.9","-16.8","90.1","1.23","35.5","0.0","0.0",
"5i",,,"180.6","196.1","117.2","17.6","1.8","90.6","16.2","88.5","1.32","45.3","0.0","0.0",
"5i",,,"186.3","200.4","124.0","17.1","3.5","101.3","15.3","93.5","1.33","47.2","0.0","0.0",
"5i",,,"167.9","179.8","117.1","17.4","4.1","89.6","29.4","90.7","1.29","45.2","0.0","0.0",
"5i",,,"179.6","195.2","116.1","17.7","3.2","89.0","6.5","89.6","1.30","45.1","0.0","0.0",
"5i",,,"161.6","174.6","114.6","17.4","3.3","84.4","23.1","89.0","1.29","44.2","0.0","0.0",
"5i",,,"169.5","188.0","115.4","16.9","-0.4","83.0","-29.4","85.1","1.36","43.5","0.0","0.0",
"5i",,,"180.4","195.9","116.1","18.5","4.1","93.3","8.7","89.9","1.29","46.3","0.0","0.0",
"d",,,"231.4","250.6","141.4","15.2","-1.7","108.0","-23.1","102.9","1.37","43.1","0.0","0.0",
"d",,,"240.8","261.5","146.4","16.0","0.3","127.6","26.5","110.5","1.33","47.3","0.0","0.0",
"d",,,"223.7","240.1","139.2","14.5","-0.3","103.1","-1.6","105.1","1.32","43.0","0.0","0.0",
"d",,,"230.0","248.5","141.4","15.8","-2.6","113.3","18.0","104.0","1.36","44.5","0.0","0.0",
"d",,,"243.4","265.3","144.8","15.5","-4.6","118.1","-14.2","107.3","1.35","45.1","0.0","0.0",
"d",,,"235.2","254.9","143.2","13.8","-1.9","101.0","-19.2","105.7","1.36","41.5","0.0","0.0",
"d",,,"240.0","259.7","145.4","14.2","0.5","105.8","9.7","105.7","1.38","42.1","0.0","0.0",
"d",,,"239.0","259.5","144.1","14.9","-3.5","109.8","-7.6","105.1","1.37","43.1","0.0","0.0",
"9i",,,"147.9","157.3","107.3","23.8","2.5","101.1","2.8","86.2","1.24","50.5","0.0","0.0",
"9i",,,"139.4","148.0","104.4","24.0","6.1","95.6","27.8","90.1","1.16","50.0","0.0","0.0",
"9i",,,"145.7","154.5","105.6","22.4","3.6","91.2","11.1","88.5","1.19","48.6","0.0","0.0",
"9i",,,"140.2","150.8","101.3","20.3","1.7","74.2","4.9","86.8","1.17","44.4","0.0","0.0",
"9i",,,"149.8","160.3","107.5","23.7","5.0","100.7","15.5","87.4","1.23","50.5","0.0","0.0",
"9i",,,"150.0","160.4","107.0","23.9","4.1","100.6","8.3","88.5","1.21","50.5","0.0","0.0",
"9i",,,"154.5","165.1","109.0","20.8","1.9","90.9","-6.9","88.5","1.23","47.9","0.0","0.0",
"5w",,,"204.6","220.1","132.2","16.7","5.8","112.0","46.3","98.5","1.34","47.3","0.0","0.0",
"5w",,,"162.6","194.7","123.5","7.2","2.5","39.1","23.1","96.2","1.28","26.2","0.0","0.0",
"5w",,,"187.5","206.3","121.2","14.2","6.8","76.9","24.4","95.1","1.27","40.3","0.0","0.0",
"5w",,,"206.5","222.4","134.7","10.8","1.7","76.9","9.2","99.6","1.35","38.6","0.0","0.0",
"5w",,,"213.1","230.6","134.9","13.9","5.3","97.4","8.8","100.7","1.34","43.6","0.0","0.0",
"5w",,,"198.2","213.4","129.8","16.3","5.6","104.7","26.6","98.5","1.32","46.1","0.0","0.0",
"5w",,,"192.1","211.9","122.7","14.5","6.9","81.0","23.9","96.8","1.27","41.3","0.0","0.0",
"5w",,,"208.2","226.2","134.1","12.0","4.6","83.6","33.2","99.0","1.35","40.4","0.0","0.0",
"5w",,,"210.6","230.2","132.3","14.6","3.8","98.1","-0.4","99.6","1.33","44.2","0.0","0.0",
"5w",,,"210.0","225.3","137.9","12.4","0.8","91.9","0.1","100.7","1.37","41.9","0.0","0.0",
"5w",,,"215.0","233.8","132.6","16.4","4.6","111.1","24.2","99.0","1.34","47.1","0.0","0.0",
"6i",,,"162.4","173.3","112.9","18.8","6.2","89.1","20.1","91.8","1.23","46.0","0.0","0.0",
"6i",,,"179.4","193.2","118.2","17.8","2.0","93.4","2.5","90.1","1.31","46.2","0.0","0.0",
"6i",,,"161.9","177.7","108.3","17.4","5.7","73.9","11.6","89.6","1.21","42.3","0.0","0.0",
"6i",,,"163.3","178.7","110.2","17.6","5.6","77.8","10.5","91.7","1.20","43.2","0.0","0.0",
"6i",,,"171.9","186.0","114.0","18.1","4.3","87.4","13.2","87.9","1.30","45.2","0.0","0.0",
"6i",,,"170.1","184.5","112.7","19.0","3.9","89.1","14.3","88.5","1.27","45.9","0.0","0.0",
"6i",,,"169.9","182.4","116.0","19.3","6.7","97.3","35.8","89.6","1.30","47.5","0.0","0.0",
"6i",,,"167.2","180.1","114.6","20.0","6.8","98.0","36.1","92.4","1.24","48.0","0.0","0.0",
"6i",,,"154.6","165.8","111.2","19.7","4.5","90.0","9.2","87.4","1.27","46.3","0.0","0.0",
"6i",,,"164.5","176.0","115.6","17.9","5.4","89.5","32.5","90.1","1.28","45.6","0.0","0.0",
"6i",,,"160.3","172.1","111.9","17.7","2.9","81.3","-7.3","88.3","1.27","43.9","0.0","0.0",
"6i",,,"173.0","186.7","115.8","17.1","5.0","85.9","18.8","88.5","1.31","44.6","0.0","0.0",
"6i",,,"168.4","184.6","113.1","15.4","3.7","72.2","6.1","90.9","1.24","41.1","0.0","0.0",
