"Club Type","Club Brand","Club Model","Carry Distance","Total Distance","Ball Speed","Launch Angle","Launch Direction","Apex","Side Carry","Club Speed","Smash Factor","Descent Angle","Attack Angle","Club Path","Club Data Est Type"
"pw",,,"131.5","142.8","95.9","33.0","-3.2","111.9","-11.9","86.8","1.11","55.5","0.0","0.0",
"pw",,,"107.6","119.5","81.2","27.4","10.6","63.0","24.2","87.4","0.93","45.1","0.0","0.0",
"pw",,,"131.2","143.3","98.6","34.0","-6.4","122.1","-14.8","85.1","1.16","57.2","0.0","0.0",
"pw",,,"132.8","143.4","96.8","34.6","-1.4","119.9","-10.4","84.6","1.14","57.1","0.0","0.0",
"pw",,,"122.8","133.5","91.7","31.1","0.1","95.6","1.9","78.5","1.17","52.3","0.0","0.0",
"pw",,,"132.0","142.0","97.4","25.8","-6.0","88.7","-28.9","86.1","1.13","49.3","0.0","0.0",
"pw",,,"132.9","143.2","99.4","32.0","-2.4","116.7","-13.0","85.7","1.16","55.6","0.0","0.0",
"pw",,,"128.8","137.4","98.9","30.9","-2.9","111.4","-13.1","85.1","1.16","54.5","0.0","0.0",
"pw",,,"125.8","135.0","94.6","29.1","0.3","95.1","0.2","83.5","1.13","51.6","0.0","0.0",
"pw",,,"119.4","128.1","92.2","31.1","-1.6","96.7","-1.1","83.5","1.10","52.6","0.0","0.0",
"pw",,,"123.8","134.6","92.9","28.6","-0.7","89.7","3.9","83.5","1.11","50.6","0.0","0.0",
"pw",,,"139.2","149.5","100.3","24.7","-6.8","90.4","-26.4","85.1","1.18","49.2","0.0","0.0",
"pw",,,"131.7","155.1","104.5","9.5","3.7","33.4","8.2","83.5","1.25","26.7","0.0","0.0",
"pw",,,"116.4","128.0","87.3","26.8","-7.4","72.3","-16.0","82.9","1.05","46.8","0.0","0.0",
"pw",,,"126.2","136.4","94.0","27.4","-5.8","87.6","-13.8","83.5","1.13","49.7","0.0","0.0",
"pw",,,"129.8","138.4","98.0","30.6","-3.7","108.2","-7.9","82.4","1.19","53.9","0.0","0.0",
"pw",,,"127.0","136.5","94.9","28.7","-5.5","94.4","-15.6","84.0","1.13","51.2","0.0","0.0",
"pw",,,"120.8","129.8","92.2","26.0","-2.0","79.1","-5.0","82.9","1.11","47.9","0.0","0.0",
"pw",,,"127.5","138.3","94.2","26.6","-1.9","85.0","-3.0","84.0","1.12","49.1","0.0","0.0",
"8i",,,"162.1","173.9","111.2","22.4","-1.0","102.6","-0.8","88.5","1.26","49.8","0.0","0.0",
"8i",,,"164.9","177.1","113.9","20.9","-2.6","101.3","-11.6","89.0","1.28","49.2","0.0","0.0",
"8i",,,"137.7","153.7","100.9","21.3","-4.1","77.7","-10.2","87.4","1.16","45.3","0.0","0.0",
"8i",,,"155.0","166.3","108.8","22.3","-0.3","97.2","2.4","85.7","1.27","49.0","0.0","0.0",
"8i",,,"155.2","166.6","109.2","23.5","1.8","103.8","13.2","86.2","1.27","50.3","0.0","0.0",
"8i",,,"152.8","164.6","107.4","18.9","-1.9","79.2","-9.1","89.0","1.21","44.8","0.0","0.0",
"8i",,,"125.2","137.9","96.9","20.9","11.0","68.9","50.8","86.8","1.12","43.3","0.0","0.0",
"8i",,,"140.8","151.5","101.8","21.9","-1.2","81.6","-2.7","86.8","1.17","46.4","0.0","0.0",
"8i",,,"141.0","152.5","102.2","23.1","2.5","87.3","21.4","85.7","1.19","47.8","0.0","0.0",
"8i",,,"144.9","155.7","104.3","21.9","-0.6","86.7","10.6","86.8","1.20","47.3","0.0","0.0",
"8i",,,"145.7","156.4","104.3","22.4","2.4","88.8","17.9","86.8","1.20","47.8","0.0","0.0",
"8i",,,"105.3","118.6","82.9","20.6","-1.3","45.3","4.5","84.6","0.98","36.4","0.0","0.0",
"8i",,,"150.5","164.6","107.5","25.5","3.1","108.9","7.8","86.2","1.25","51.7","0.0","0.0",
"8i",,,"143.4","151.9","106.1","25.3","2.1","105.0","19.5","90.6","1.17","51.2","0.0","0.0",
"8i",,,"119.8","130.1","90.9","22.1","-1.0","63.0","7.2","91.0","1.00","42.1","0.0","0.0",
"8i",,,"124.9","136.7","93.1","22.0","-0.5","66.3","7.7","80.7","1.15","43.1","0.0","0.0",
"8i",,,"157.9","169.5","110.9","23.1","2.0","105.2","20.8","88.5","1.25","50.5","0.0","0.0",
"8i",,,"161.5","172.3","113.6","23.3","-1.2","111.8","2.8","89.0","1.28","51.4","0.0","0.0",
"8i",,,"158.8","170.2","110.6","23.8","0.2","108.2","7.9","88.5","1.25","51.0","0.0","0.0",
"8i",,,"154.3","165.0","109.1","21.8","0.8","95.6","12.0","88.5","1.23","48.7","0.0","0.0",
"8i",,,"150.6","162.0","106.9","24.1","0.7","101.4","15.3","89.9","1.19","50.3","0.0","0.0",
"6i",,,"115.5","129.8","92.1","16.4","1.0","43.7","15.7","83.5","1.10","33.1","0.0","0.0",
"6i",,,"119.6","132.2","91.8","17.9","-0.3","48.7","7.8","91.5","1.00","35.5","0.0","0.0",
"6i",,,"130.6","144.4","95.5","19.8","1.2","61.5","18.7","85.7","1.11","40.0","0.0","0.0",
"6i",,,"154.4","167.5","107.4","19.4","0.3","81.1","18.0","89.6","1.20","44.6","0.0","0.0",
"6i",,,"171.2","185.1","115.1","18.4","-0.7","90.8","15.1","89.6","1.28","45.9","0.0","0.0",
"6i",,,"153.0","169.8","108.1","19.0","-2.9","80.3","-8.0","86.8","1.25","44.1","0.0","0.0",
"6i",,,"146.9","160.6","105.2","17.5","-0.9","68.3","4.8","88.9","1.18","40.8","0.0","0.0",
"6i",,,"161.5","174.0","112.8","21.3","3.1","100.6","32.0","89.6","1.26","48.8","0.0","0.0",
"6i",,,"168.3","182.8","115.2","15.7","-3.2","77.1","-6.6","89.0","1.29","42.2","0.0","0.0",
