"Club Type","Club Brand","Club Model","Carry Distance","Total Distance","Ball Speed","Launch Angle","Launch Direction","Apex","Side Carry","Club Speed","Smash Factor","Descent Angle","Attack Angle","Club Path","Club Data Est Type"
"pw",,,"104.0","114.7","82.1","25.5","-5.1","59.1","-15.0","82.4","1.00","43.2","-1.0","-2.6",0
"pw",,,"118.2","130.5","86.0","35.3","0.0","96.2","-4.0","79.6","1.08","54.3","-1.0","-1.0",8
"pw",,,"100.8","113.9","78.5","37.4","0.3","84.8","-9.5","77.9","1.01","53.8","-1.0","-1.0",8
"pw",,,"100.8","111.7","79.9","24.3","-3.7","52.0","-9.6","82.4","0.97","40.8","-2.1","-2.6",0
"pw",,,"113.7","122.6","87.9","28.1","-3.5","77.7","-13.8","81.8","1.07","48.4","-0.3","-2.0",0
"pw",,,"115.4","126.0","86.0","28.8","-0.4","76.4","-6.9","80.6","1.07","48.5","-1.0","-1.0",8
"pw",,,"89.6","99.6","77.4","25.3","1.7","50.9","4.3","82.9","0.93","41.0","-1.0","-1.0",3
"pw",,,"90.3","101.0","73.2","34.0","1.9","65.6","3.5","82.4","0.89","49.0","-0.7","-1.6",0
"pw",,,"99.0","108.0","81.0","33.1","-0.1","78.6","-2.3","84.0","0.96","50.7","-0.6","-2.1",0
"pw",,,"121.6","133.1","88.8","29.1","-1.8","82.8","-9.3","84.0","1.06","49.7","-2.2","-1.2",0
"pw",,,"105.4","117.5","79.9","28.1","-5.9","62.7","-17.1","81.2","0.98","45.2","-1.0","-1.0",8
"pw",,,"110.3","119.9","85.7","28.1","-2.2","73.5","-5.2","83.5","1.03","47.6","-1.6","-1.3",0
"pw",,,"117.2","129.0","89.3","38.8","5.8","114.7","10.8","82.4","1.08","58.9","-2.2","-0.9",0
"pw",,,"117.4","127.6","89.0","29.8","3.3","85.7","9.5","82.8","1.08","50.5","-1.0","-1.0",8
"pw",,,"120.6","131.2","89.3","31.5","2.4","91.8","3.9","84.6","1.06","52.2","0.5","-0.4",0
"pw",,,"117.2","127.6","86.5","28.7","0.1","76.8","-2.5","84.6","1.02","48.5","-3.0","-0.2",0
"pw",,,"104.0","114.8","82.5","26.5","-1.3","62.6","-4.2","85.7","0.96","44.5","-0.4","-1.6",0
"pw",,,"114.5","123.9","91.2","32.6","-1.8","99.4","-4.3","83.5","1.09","53.6","-2.0","-2.3",0
"pw",,,"124.8","133.9","95.1","27.7","2.4","90.9","4.5","84.6","1.12","50.5","-1.3","0.6",0
"8i",,,"143.0","156.1","100.9","21.2","-2.4","77.1","-8.6","87.9","1.15","45.1","-1.3","-2.2",0
"8i",,,"147.6","157.4","105.4","23.0","3.1","93.6","23.5","89.0","1.18","48.9","-3.0","-3.2",0
"8i",,,"144.9","155.7","104.3","21.7","0.2","85.8","-0.7","89.0","1.17","47.1","-2.1","-0.8",0
"8i",,,"120.7","131.9","92.6","22.5","3.6","67.4","17.3","82.4","1.12","43.6","-1.0","-1.0",8
"8i",,,"167.1","178.5","115.3","19.9","0.1","99.1","-6.5","87.9","1.31","48.5","-3.3","0.6",0
"8i",,,"118.0","129.7","90.1","21.2","1.4","58.7","6.6","83.5","1.08","40.7","1.7","-0.9",0
"8i",,,"135.3","146.2","99.2","25.7","2.4","91.8","12.1","86.8","1.14","49.4","-1.8","-1.2",0
"8i",,,"152.6","163.5","107.9","24.5","4.0","105.4","16.0","85.7","1.26","50.9","-1.0","0.4",0
"8i",,,"147.6","158.0","106.0","22.6","1.5","93.0","7.7","86.8","1.22","48.5","-1.0","-1.0",8
"8i",,,"111.0","125.9","85.7","20.3","-1.4","48.7","-3.4","87.4","0.98","37.3","-0.5","-0.1",0
"8i",,,"127.7","138.8","95.6","20.0","-3.0","63.1","-12.0","82.9","1.15","41.3","-0.6","-2.2",0
"8i",,,"143.0","153.0","104.2","24.1","3.4","96.0","16.0","85.7","1.22","49.5","-0.7","-1.9",0
