"Club Type","Club Brand","Club Model","Carry Distance","Total Distance","Ball Speed","Launch Angle","Launch Direction","Apex","Side Carry","Club Speed","Smash Factor","Descent Angle","Attack Angle","Club Path","Club Data Est Type"
"8i",,,"127.1","138.6","93.6","26.9","-1.3","84.8","-12.9","85.1","1.10","48.6","-4.8","0.1",0
"8i",,,"145.3","155.7","106.0","17.2","0.9","69.5","2.6","87.9","1.21","41.9","-5.7","1.6",0
"8i",,,"148.5","159.2","108.9","16.1","0.2","69.4","0.7","90.1","1.21","41.5","-4.9","1.3",0
"8i",,,"145.1","158.8","109.4","12.6","-0.9","53.7","-2.1","89.6","1.22","35.6","-5.2","2.9",0
"8i",,,"141.7","157.7","109.7","9.6","-2.5","39.7","2.7","90.1","1.22","29.3","-6.4","-1.0",0
"8i",,,"105.6","114.4","83.2","32.4","2.8","81.4","5.8","82.9","1.00","50.6","-1.7","-0.6",0
"8i",,,"135.5","176.8","112.9","5.9","-0.6","25.1","-6.3","88.5","1.28","21.1","-4.7","2.1",0
"6i",,,"176.9","189.5","121.4","17.2","6.7","97.2","20.1","91.2","1.33","46.8","-0.6","5.6",0
"6i",,,"154.5","172.4","109.9","17.2","9.5","75.8","25.4","89.6","1.23","42.8","-3.3","4.6",0
"6i",,,"160.9","182.0","118.5","8.3","4.2","43.7","15.4","90.1","1.31","30.2","-1.0","-1.0",3
"6i",,,"171.2","184.1","118.9","14.3","6.1","76.8","19.8","90.1","1.32","41.8","-4.4","5.3",0
"6i",,,"176.5","194.9","121.8","15.8","3.5","90.1","10.5","91.8","1.33","45.0","-3.8","3.3",0
"6i",,,"175.2","187.7","124.0","13.1","2.6","79.1","7.1","93.5","1.33","42.0","-4.4","4.0",0
"4i",,,"82.4","111.3","87.8","8.1","5.5","11.8","7.9","93.5","0.94","13.5","1.4","2.5",0
"4i",,,"147.3","161.5","106.0","16.9","6.1","65.5","10.8","94.6","1.12","39.0","-1.0","-1.0",3
"4i",,,"148.3","161.2","107.6","15.6","6.1","62.5","4.3","92.9","1.16","37.8","0.7","6.9",0
"4i",,,"149.7","175.1","114.7","9.0","9.7","39.4","39.4","93.5","1.23","27.4","-2.1","8.5",0
"4i",,,"182.5","198.7","124.7","10.9","4.3","64.6","9.5","92.9","1.34","36.5","-0.4","5.6",0
"4i",,,"174.1","190.5","122.7","9.7","4.9","54.6","22.2","94.6","1.30","33.3","-3.0","4.0",0
"4i",,,"178.7","200.4","122.7","12.3","8.1","69.8","24.8","93.5","1.31","38.6","-0.9","5.8",0
"5w",,,"178.1","227.4","133.5","4.0","5.6","32.5","22.0","97.9","1.36","23.1","0.8","2.4",0
"5w",,,"88.7","120.8","93.8","6.7","-0.5","11.1","-0.7","95.1","0.99","12.2","2.3","3.7",0
"5w",,,"186.7","208.4","131.6","7.1","5.7","50.0","16.2","97.4","1.35","30.6","-0.5","6.0",0
"5w",,,"184.4","229.7","131.3","4.7","2.4","33.9","2.2","99.0","1.33","23.7","-1.0","4.8",0
"5w",,,"189.7","209.9","132.7","8.9","7.4","62.5","47.8","99.6","1.33","34.9","0.8","7.3",0
"5w",,,"179.9","232.8","134.0","3.5","6.9","30.5","32.5","97.4","1.38","22.2","0.4","8.7",0
