"Club Type","Club Brand","Club Model","Carry Distance","Total Distance","Ball Speed","Launch Angle","Launch Direction","Apex","Side Carry","Club Speed","Smash Factor","Descent Angle","Attack Angle","Club Path","Club Data Est Type"
"pw",,,"127.9","138.3","94.7","28.6","1.8","93.5","9.5","86.2","1.10","51.3","-2.3","1.7",0
"pw",,,"131.6","141.6","98.7","32.6","0.6","117.0","1.4","86.8","1.14","55.9","-2.0","-1.9",0
"pw",,,"143.2","153.2","103.7","27.1","-4.6","107.2","-23.4","87.9","1.18","52.5","-1.5","-0.2",0
"pw",,,"135.3","145.9","98.0","30.0","0.8","105.9","7.9","86.8","1.13","53.5","-3.4","-1.0",0
"pw",,,"143.1","153.5","102.8","30.4","-4.2","118.6","-18.6","85.7","1.20","55.2","-0.4","-0.9",0
"pw",,,"141.4","151.4","102.1","27.5","-0.6","105.1","-4.2","90.1","1.13","52.5","-1.0","-1.0",3
"pw",,,"125.9","135.3","92.9","30.1","2.2","94.8","9.7","87.9","1.06","52.0","-2.9","-1.1",0
"pw",,,"140.5","152.6","97.6","31.3","-0.2","109.8","-5.3","89.3","1.09","54.6","-0.3","0.4",0
"pw",,,"136.7","146.6","99.9","30.0","-0.8","110.3","-2.3","86.8","1.15","54.0","-1.3","-0.1",0
"8i",,,"165.2","178.2","110.7","26.3","0.5","119.5","0.8","90.7","1.22","53.5","0.9","-0.2",0
"8i",,,"169.6","182.4","114.6","21.4","-4.2","104.9","-26.2","94.0","1.22","50.0","-2.5","-0.4",0
"8i",,,"157.6","168.9","110.4","22.5","-4.3","101.4","-24.6","90.1","1.22","49.7","-1.0","-0.7",0
"8i",,,"149.2","160.0","105.8","25.3","-0.9","104.3","-5.4","89.6","1.18","51.1","1.4","-0.5",0
"8i",,,"168.3","180.8","111.8","24.0","-1.1","111.5","-0.8","90.7","1.23","51.6","-2.7","-1.5",0
"8i",,,"164.8","176.1","113.3","23.9","-1.8","114.5","-12.3","91.2","1.24","52.0","-1.2","0.0",0
"8i",,,"140.2","151.6","101.1","22.6","0.7","83.4","-6.3","90.7","1.11","46.8","2.2","0.9",0
"8i",,,"169.9","182.0","114.0","24.8","-0.9","120.2","-5.3","91.8","1.24","53.0","-0.5","-0.6",0
"8i",,,"164.2","177.8","108.3","23.2","-0.7","100.6","-10.8","89.0","1.22","49.8","-0.7","0.8",0
"8i",,,"150.3","161.5","105.9","23.3","-2.4","96.0","-19.9","87.9","1.20","49.2","-0.6","0.6",0
"8i",,,"167.8","181.0","109.8","25.1","0.0","111.7","3.3","88.5","1.24","51.9","-1.8","-1.8",0
"8i",,,"156.1","167.7","108.6","24.1","-2.5","105.0","-6.2","88.5","1.23","50.7","-1.8","-1.8",0
"8i",,,"159.3","173.2","105.3","23.6","-1.6","96.0","-13.4","87.4","1.21","49.3","-0.3","0.6",0
"8i",,,"154.6","165.6","110.2","25.3","-2.6","113.7","-1.7","87.9","1.25","52.2","0.3","-2.6",0
"8i",,,"166.1","178.1","116.1","18.9","-0.7","95.5","-13.0","94.6","1.23","47.8","-1.0","0.9",0
"8i",,,"180.2","191.3","124.1","19.3","-0.0","113.8","-0.3","94.6","1.31","50.6","-1.6","-1.2",0
"8i",,,"176.5","188.6","121.2","17.9","-0.5","100.6","-11.3","93.5","1.30","48.2","-1.8","1.2",0
"8i",,,"176.8","192.5","121.2","12.5","0.2","71.8","21.5","94.6","1.28","40.5","-3.0","-1.0",0
"8i",,,"175.9","186.9","120.8","19.4","2.0","107.9","13.3","92.9","1.30","49.8","-1.6","0.2",0
"8i",,,"161.0","178.7","106.7","19.8","0.8","81.9","0.0","94.0","1.14","45.5","0.5","1.2",0
"8i",,,"183.7","195.6","126.3","18.0","1.3","111.6","24.3","96.2","1.31","49.8","-3.7","-2.4",0
"8i",,,"176.8","191.8","115.0","19.1","1.0","94.8","5.9","95.7","1.20","47.8","-1.1","-0.1",0
"8i",,,"183.2","197.2","119.8","19.0","-0.2","103.5","3.6","94.0","1.27","49.1","-1.6","-1.5",0
"8i",,,"161.1","173.1","113.6","18.3","-0.8","88.3","-17.7","92.9","1.22","46.5","-2.0","2.0",0
"8i",,,"166.0","193.7","119.2","7.8","-3.0","40.9","-4.8","91.2","1.31","28.5","-2.7","-1.2",0
"8i",,,"139.9","154.0","101.0","19.2","-0.4","69.1","-3.5","89.9","1.12","42.4","1.8","-1.7",0
"8i",,,"178.8","191.9","120.9","16.5","-1.4","92.6","-0.2","90.1","1.34","46.2","-1.7","1.4",0
"4i",,,"171.7","192.1","118.0","13.4","-2.2","67.8","-24.7","96.2","1.23","38.2","0.7","-0.1",0
"4i",,,"192.6","206.8","125.5","17.1","0.9","102.8","11.4","97.4","1.29","46.8","-1.0","-1.0",0
"4i",,,"184.7","201.6","121.6","14.5","-0.9","80.5","-5.7","95.1","1.28","41.8","-1.1","-1.3",0
"4i",,,"158.6","173.8","113.3","15.1","-3.6","69.5","-28.9","92.9","1.22","39.4","-0.9","-0.3",0
"4i",,,"185.9","201.1","125.8","12.6","-2.0","76.2","-6.6","96.8","1.30","40.0","-1.9","-1.4",0
"4i",,,"192.4","207.3","129.2","14.7","-2.8","94.8","-13.1","97.9","1.32","44.4","-1.9","-2.7",0
"4i",,,"196.7","213.3","126.6","15.1","0.2","92.9","18.2","97.4","1.30","44.3","-2.5","-2.5",0
"4i",,,"177.3","193.2","121.4","12.9","-0.4","70.9","11.9","94.6","1.28","39.0","-4.1","-2.4",0
"gw",,,"127.0","138.9","90.2","31.5","-0.3","93.6","8.6","84.6","1.07","52.7","-4.7","-3.1",0
"gw",,,"134.5","144.7","98.7","20.8","-4.3","71.9","-4.2","85.1","1.16","44.2","-5.3","-3.5",0
"gw",,,"123.8","132.9","91.6","29.3","-2.3","89.2","-4.5","83.5","1.10","51.1","-5.0","-2.0",0
