"Club Type","Club Brand","Club Model","Carry Distance","Total Distance","Ball Speed","Launch Angle","Launch Direction","Apex","Side Carry","Club Speed","Smash Factor","Descent Angle","Attack Angle","Club Path","Club Data Est Type"
"pw",,,"128.2","138.9","94.9","33.6","-3.6","111.7","-8.0","84.6","1.12","55.6","-1.6","0.2",0
"pw",,,"116.4","127.0","89.4","34.5","-2.6","101.6","-3.1","84.0","1.06","54.8","-1.1","-1.5",0
"pw",,,"104.2","112.8","83.8","36.0","12.1","93.4","36.0","82.9","1.01","54.8","-3.6","-2.1",0
"pw",,,"132.5","143.2","94.9","32.3","-6.7","107.2","-24.1","83.5","1.14","54.5","-1.0","-1.0",8
"pw",,,"128.8","139.6","92.8","31.1","-3.4","98.3","-16.1","82.9","1.12","52.8","-2.3","-0.3",0
"pw",,,"106.6","115.7","87.3","34.5","7.9","96.8","25.5","84.0","1.04","54.4","-3.4","-2.3",0
"pw",,,"123.9","134.0","93.2","33.8","-2.3","108.2","-8.0","83.5","1.12","55.3","-1.1","-0.8",0
"pw",,,"105.2","115.0","82.0","27.7","-6.3","65.3","-16.6","79.0","1.04","45.7","-1.0","-1.0",8
"pw",,,"109.7","119.0","85.4","36.8","-2.9","99.1","0.5","82.4","1.04","55.6","-3.8","-8.7",0
"pw",,,"14.8","60.7","72.3","2.7","7.7","0.8","2.4","82.4","0.88","3.1","-1.0","-1.0",4
"pw",,,"92.4","102.5","86.6","20.8","18.2","51.9","45.0","83.5","1.04","39.4","-4.9","-7.4",0
"pw",,,"94.1","105.6","77.6","37.9","4.8","84.2","20.0","81.8","0.95","54.2","-4.4","-8.6",0
"pw",,,"115.2","124.8","87.9","33.0","-7.1","93.4","-6.4","82.4","1.07","52.9","-5.8","-9.8",0
"pw",,,"109.0","120.1","83.7","29.6","-11.1","74.1","-20.1","81.2","1.03","48.2","-5.2","-7.8",0
"pw",,,"87.8","101.7","71.5","28.9","-8.9","50.4","-8.9","81.8","0.87","42.7","-3.0","-8.1",0
"pw",,,"106.8","118.0","81.3","31.4","-5.7","74.8","-5.2","79.0","1.03","49.3","-1.0","-1.0",8
"pw",,,"91.0","101.6","73.3","30.8","-8.3","57.9","-18.4","81.8","0.90","45.6","-3.7","-4.6",0
